Country,Genus,Species,Taxon,Site,Lat,Hab,FemState,Female,Male,Time
USA,Enallagma,hageni,Enallagma_hageni,Beaver Pond at Stokes State Forest,Tmp,O,1,0,5,60
USA,Enallagma,recurvatum,Enallagma_recurvatum,Whites Bog,,,,3,10,60
Guyana,Epipleoneura,fuscaenea,Epipleoneura_fuscaenea,Iwokrama road stream,Trp,C,0,8,4,140
Argentina,Epipleoneura,venezuelensis,Epipleoneura_venezuelensis,Garganta trail,Trp,C,0,0,8,126
Sweden,Erythromma,viridulum,Erythromma_viridulum,Raby,Tmp,O,2,7,16,180
Argentina,Homeoura,chelifera,Homeoura_chelifera,Laguna Ibera Bridge,Trp,O,1,11,6,55
Guyana,Homeoura,chelifera,Homeoura_chelifera,Karanambu dam,Trp,O,1,12,8,160
Argentina,Homeoura,chelifera,Homeoura_chelifera,Information Center,Trp,O,1,29,34,120
Argentina,Homeoura,lindneri,Homeoura_lindneri,Information Center,Trp,O,1,19,36,120
Guyana,Ischnura,capreolus,Ischnura_capreolus,Karanambu dam,Trp,O,1,8,4,160
Argentina,Ischnura,capreolus,Ischnura_capreolus,Carlos Pellegrini Pond,Trp,O,1,5,8,15
Guyana,Ischnura,capreolus,Ischnura_capreolus,Karanambu river pond,Trp,O,1,5,12,120
Guyana,Ischnura,capreolus,Ischnura_capreolus,Karanambu pond,Trp,O,1,8,12,120
Guyana,Ischnura,capreolus,Ischnura_capreolus,Karanambu swamp,Trp,O,1,9,12,100
Costa Rica,Ischnura,capreolus,Ischnura_capreolus,Tilapia Pond at Barbilla Lodge,Trp,O,1,8,7,157
Costa Rica,Ischnura,capreolus,Ischnura_capreolus,Trail and Pond near Tempisque Boat Station,Trp,O,1,3,4,80
Costa Rica,Ischnura,capreolus,Ischnura_capreolus,Las Espuelas Marsh PV,Trp,O,1,17,16,80
Sweden,Ischnura,elegans,Ischnura_elegans,Genarp,Tmp,O,1,3,5,45
Cyprus,Ischnura,elegans,Ischnura_elegans,Drouseia 1,Tmp,O,1,3,6,12
Sweden,Ischnura,elegans,Ischnura_elegans,Hoje A 14,Tmp,O,1,3,6,45
Sweden,Ischnura,elegans,Ischnura_elegans,Borgeby,Tmp,O,1,5,5,45
Sweden,Ischnura,elegans,Ischnura_elegans,Hoje A 7,Tmp,O,1,2,8,45
Cyprus,Ischnura,elegans,Ischnura_elegans,Akdeniz 2,Tmp,O,1,5,8,13
Sweden,Ischnura,elegans,Ischnura_elegans,Lomma,Tmp,O,1,5,8,45
Cyprus,Ischnura,elegans,Ischnura_elegans,Farmakas reservoir,Tmp,O,1,5,9,34
Sweden,Ischnura,elegans,Ischnura_elegans,Habo Gard,Tmp,O,1,5,9,60
Sweden,Ischnura,elegans,Ischnura_elegans,Ilstorp,Tmp,O,1,5,10,60
Cyprus,Ischnura,elegans,Ischnura_elegans,Srinevler,Tmp,O,1,8,9,15
Cyprus,Ischnura,elegans,Ischnura_elegans,Victoria bay,Tmp,O,1,5,12,12
Cyprus,Ischnura,elegans,Ischnura_elegans,Mangalis reservoir,Tmp,O,1,4,13,32
Sweden,Ischnura,elegans,Ischnura_elegans,Flackarp,Tmp,O,1,4,15,45
Cyprus,Ischnura,elegans,Ischnura_elegans,Sotira,Tmp,O,1,9,11,25
Cyprus,Ischnura,elegans,Ischnura_elegans,Goudi 1,Tmp,O,1,5,17,16
Sweden,Ischnura,elegans,Ischnura_elegans,Gunnesbo,Tmp,O,1,7,17,45
Cyprus,Ischnura,elegans,Ischnura_elegans,Goudi 2,Tmp,O,1,5,19,17
Cyprus,Ischnura,elegans,Ischnura_elegans,Coral bay stream,Tmp,O,1,10,15,25
Sweden,Ischnura,elegans,Ischnura_elegans,Fly 30 A1,Tmp,O,1,8,17,60
Cyprus,Ischnura,elegans,Ischnura_elegans,Akdeniz 3,Tmp,O,1,12,14,34
Cyprus,Ischnura,elegans,Ischnura_elegans,Agridia reservoir,Tmp,O,1,13,17,38
Sweden,Ischnura,elegans,Ischnura_elegans,Fly 30 A3,Tmp,O,1,11,25,60
Sweden,Ischnura,elegans,Ischnura_elegans,Hoje A 6,Tmp,O,1,18,27,45
Cyprus,Ischnura,elegans,Ischnura_elegans,Kanli reservoir,Tmp,O,1,18,34,25
Cyprus,Ischnura,elegans,Ischnura_elegans,Gonyeli reservoir,Tmp,O,1,20,33,30
Sweden,Ischnura,elegans,Ischnura_elegans,Vombs Vattenverk,Tmp,O,1,28,33,50
Cyprus,Ischnura,elegans,Ischnura_elegans,Zakaki,Tmp,O,1,48,46,45
Cyprus,Ischnura,elegans,Ischnura_elegans,Agioi Vavatsinias reservoir,Tmp,O,1,38,75,50
Cyprus,Ischnura,elegans,Ischnura_elegans,Kormakitis,Tmp,O,1,54,94,45
Guyana,Ischnura,hastata,Ischnura_hastata,Karanambu river pond,,O,2,3,0,120
Guyana,Ischnura,hastata,Ischnura_hastata,Karanambu dam,,O,2,4,5,160
USA,Ischnura,posita,Ischnura_posita,Barbour Pond,Tmp,C,0,0,1,60
USA,Ischnura,posita,Ischnura_posita,Webb Mills Boardwalk,Tmp,C,0,1,2,60
USA,Ischnura,posita,Ischnura_posita,Beaver Pond at Stokes State Forest,Tmp,C,0,5,2,60
USA,Ischnura,posita,Ischnura_posita,Pakim pond,Tmp,C,0,8,6,20
USA,Ischnura,posita,Ischnura_posita,Mullica River,Tmp,C,0,14,2,90
USA,Ischnura,posita,Ischnura_posita,Black river wildlife management area,Tmp,C,0,18,6,30
USA,Ischnura,posita,Ischnura_posita,Whites Bog,Tmp,C,0,29,15,60
Sweden,Ischnura,pumilio,Ischnura_pumilio,Svagetorp,Tmp,O,1,23,18,60
Costa Rica,Ischnura,ramburii,Ischnura_ramburii,Tilapia Pond at Barbilla Lodge,Trp,O,1,1,1,10
Costa Rica,Ischnura,ramburii,Ischnura_ramburii,Elevated Trail Palo Verde,Trp,O,1,8,4,45
Costa Rica,Ischnura,ramburii,Ischnura_ramburii,Nicaragua Wetland PV,Trp,O,1,5,5,140
Costa Rica,Ischnura,ramburii,Ischnura_ramburii,Las Espuelas Marsh PV,Trp,O,1,2,2,80
Cameroon,Ischnura,senegalensis,Ischnura_senegalensis,Crater lake,,O,1,12,6,114
USA,Ischnura,verticalis,Ischnura_verticalis,Beaver Pond at Stokes State Forest,Tmp,O,1,3,1,60
USA,Ischnura,verticalis,Ischnura_verticalis,Barbour Pond,Tmp,O,1,35,38,60
Costa Rica,Leptobasis,vacillans,Leptobasis_vacillans,Gandoca beach marsh,Trp,O,1,4,7,40
Guyana,Mecistogaster,lucretia,Mecistogaster_lucretia,Iwokrama road stream,Trp,C,0,0,1,140
Cameroon,Mesocnemis,singularis,Mesocnemis_singularis,Natchigal river at Bachenga,Trp,O,2,0,2,90
Cameroon,Mesocnemis,singularis,Mesocnemis_singularis,Boat landing site Djerem river,Trp,O,2,4,15,162
Guyana,Metaleptobasis,byrsonima,Metaleptobasis_byrsonima,Iwokrama road stream,Trp,C,0,10,1,140
Costa Rica,Metaleptobasis,byrsonima,Metaleptobasis_byrsonima,Manzanillo trail,Trp,C,0,15,7,282
Costa Rica,Metaleptobasis,byrsonima,Metaleptobasis_byrsonima,Manzanillo Cacao Plantation,Trp,C,0,5,0,30
Costa Rica,Metaleptobasis,byrsonima,Metaleptobasis_byrsonima,ManzanilloEntrance,Trp,C,0,0,3,60
USA,Nehalennia,gracilis,Nehalennia_gracilis,Webb Mills Boardwalk,Tmp,O,1,1,3,60
USA,Nehalennia,gracilis,Nehalennia_gracilis,Mullica River,Tmp,O,1,7,9,90
USA,Nehalennia,gracilis,Nehalennia_gracilis,Forest pond by Butterworth Rd,Tmp,O,1,25,25,30
Guyana,Nehalennia,minuta,Nehalennia_minuta,Karanambu forest,Trp,C,0,2,2,390
Guyana,Neoneura,joana,Neoneura_joana,Iwokrama Esequibo River,Trp,O,2,1,10,200
Guyana,Neoneura,myrthea,Neoneura_myrthea,Iwokrama road stream,Trp,C,2,0,5,140
Argentina,Peristicta,sp,Peristicta_sp,Arroyo Nandu,Trp,C,0,0,1,60
Argentina,Peristicta,sp,Peristicta_sp,Garganta trail,Trp,C,0,0,5,126
Guyana,Phoenicagrion,flammeum,Phoenicagrion_flammeum,Karanambu forest,Trp,C,0,8,13,570
Sweden,Platycnemis,pennipes,Platycnemis_pennipes,Sovdemolla,Tmp,O,2,5,9,120
Costa Rica,Protoneura,amatoria,Protoneura_amatoria,Natural Lake at Barbilla Lodge,Trp,C,2,1,2,126
Costa Rica,Protoneura,amatoria,Protoneura_amatoria,SSE River La Selva,Trp,C,2,1,1,30
Costa Rica,Protoneura,amatoria,Protoneura_amatoria,Stream in Reserva Forestal Dulce ,Trp,C,2,1,1,20
Guyana,Protoneura,calverti,Protoneura_calverti,Iwokrama road stream,Trp,C,2,0,2,140
Costa Rica,Psaironeura,remissa,Psaironeura_remissa,Cantarrana to SOR swamp La Selva,Trp,C,2,2,4,99
Cameroon,Pseudagrion,epiphonematicum,Pseudagrion_epiphonematicum,stream with pools Nyasosso,Trp,C,2,0,6,80
Cameroon,Pseudagrion,glaucoideum,Pseudagrion_glaucoideum,Forest stream at Mefou Primate Sanctuary,Trp,C,,0,1,60
Cameroon,Pseudagrion,glaucum,Pseudagrion_glaucum,Forest stream before rapid section of Dja,Trp,C,0,0,1,120
Cameroon,Pseudagrion,glaucum,Pseudagrion_glaucum,Rainforest stream at the entrance of Dja reserve,Trp,C,0,0,1,75
Cameroon,Pseudagrion,glaucum,Pseudagrion_glaucum,River outside Mefou Primate Sanctuary,Trp,C,0,0,1,60
Cameroon,Pseudagrion,glaucum,Pseudagrion_glaucum,Walk around Dja river near ferry crossing,Trp,C,0,0,3,165
Cameroon,Pseudagrion,glaucum,Pseudagrion_glaucum,Small stream before rapid section of Dja,Trp,C,0,0,4,60
Cameroon,Pseudagrion,glaucum,Pseudagrion_glaucum,Rainforest trail between village and Dja river,Trp,C,0,1,8,160
Cameroon,Pseudagrion,kersteni,Pseudagrion_kersteni,Ndom stream with pools,Trp,C,2,0,3,75
