Taxon	Lat	Hab	State
Oxyagrion_ablutum	Tmp	O	2
Oxyallagma_dissidens	Tmp	O	2
Phasmoneura_exigua	Trp	C	2
Phoenicagrion_flammeum	Trp	C	0
Platystigma_jocaste	Trp	C	0
Protoneura_ailsa	Trp	C	2
Protoneura_calverti	Trp	C	2
Protoneura_macintyrei	Trp	C	0
Protoneura_romanae	Trp	C	0
Protoneura_scintilla	Trp	C	2
Protoneura_woytkowskii	Trp	C	2
Psaironeura_bifurcata	Trp	C	2
Psaironeura_tenuissima	Trp	C	2
Telagrion_longum	Trp	C	2
Telebasis_carmesina	Trp	O	2
Telebasis_demarara	Trp	O	0
Telebasis_obsoleta	Trp	C	2
Telebasis_simulata	Trp	O	2
Tigriagrion_aurantinigrum	Trp	O	0
Aciagrion_approximans	Trp	O	0
Aciagrion_borneense	Trp	O	0
Agriocnemis_nana	Trp	O	0
Amphicnemis_gracilis	Trp	C	2
Amphicnemis_triplex	Trp	C	2
Amphicnemis_wallacii	Trp	C	2
Archibasis_melanocyana	Trp	C	0
Archibasis_viola	Trp	C	2
Ceriagrion_azureum	Trp	O	2
Ceriagrion_bellona	Trp	O	2
Ceriagrion_chaoi	Trp	O	2
Ceriagrion_indochinense	Trp	O	2
Ischnura_foylei	Trp	C	1
Mortonagrion_aborense	Trp	C	0
Mortonagrion_arthuri	Trp	C	2
Pandanobasis_cantuga	Trp	C	0
Sangabasis_dentifer	Trp	C	0
Teinobasis_cryptica	Trp	C	0
Teinobasis_filamenta	Trp	C	2
Teinobasis_laidlawi	Trp	C	2
Teinobasis_rajah	Trp	C	0
Teinobasis_ruficollis	Trp	C	0
