Taxon,Region_1,Region_2,Region_3,Region_4,Biome_1,Biome_2,Biome_3
Idiocnemis_obliterata,Aus,,,,T,,
Ischnura_armstrongi,Aus,,,,T,,
Ischnura_heterosticta,Aus,,,,T,W,
Ischnura_pamelae,Aus,,,,T,,
Ischnura_pruinescens,Aus,,,,T,,
Ischnura_sp,Aus,,,,T,,
Lieftinckia_lairdi,Aus,,,,T,,
Lochmaeocnemis_malacodora,Aus,,,,T,,
Melanesobasis_corniculata,Aus,,,,T,,
Melanesobasis_flavilabris,Aus,,,,T,,
Melanesobasis_mcleani,Aus,,,,T,,
Mortonagrion_martini,Aus,,,,T,,
Nesobasis_campioni,Aus,,,,T,,
Nesobasis_erythrops,Aus,,,,T,,
Nesobasis_flavifrons,Aus,,,,T,,
Nesobasis_longistyla,Aus,,,,T,,
Nesobasis_sp1,Aus,,,,T,,
Nesobasis_sp2,Aus,,,,T,,
Nesobasis_sp3,Aus,,,,T,,
Nesobasis_sp4,Aus,,,,T,,
Nesobasis_sp5,Aus,,,,T,,
Nesobasis_sp6,Aus,,,,T,,
Nesobasis_sp7,Aus,,,,T,,
Nesobasis_sp8,Aus,,,,T,,
Nesobasis_telegastrum,Aus,,,,T,,
Nososticta_erythrura,Aus,,,,T,,
Nososticta_finisterrae,Aus,,,,T,,
Nososticta_fraterna,Aus,,,,T,,
Nososticta_kalumburu,Aus,,,,T,,
Nososticta_liveringa,Aus,,,,T,,
Nososticta_salomonis,Aus,,,,T,,
Nososticta_solida,Aus,,,,T,W,
Nososticta_solitaria,Aus,,,,T,,
Pacificagrion_lachrymosa,Aus,,,,T,,
Pacificagrion_sp,Aus,,,,T,,
Palaiargia_charmosyna,Aus,,,,T,,
Papuagrion_marijanmatoki,Aus,,,,T,,
Papuagrion_occipitale,Aus,,,,T,,
Papuagrion_prothoracale,Aus,,,,T,,
Paramecocnemis_erythrostigma,Aus,,,,T,,
Paramecocnemis_stillacruoris,Aus,,,,T,,
Pseudagrion_aureofrons,Aus,,,,T,W,
Pseudagrion_ignifer,Aus,,,,T,,
Pseudagrion_incisurum,Aus,,,,T,,
Pseudagrion_samoense,Aus,,,,T,,
Salomocnemis_gerdae,Aus,,,,T,,
Teinobasis_bradleyi,Aus,,,,T,,
Teinobasis_rufithorax,Aus,,,,T,,
Teinobasis_scintillans,Aus,,,,T,,
Teinobasis_sjupp,Aus,,,,T,,
Torrenticnemis_filicornis,Aus,,,,T,,
Vanuatubasis_sp,Aus,,,,T,,
Xanthagrion_erythroneura,Aus,,,,T,W,
Xanthocnemis_tuanuii,Aus,,,,W,,
Xanthocnemis_zealandica,Aus,,,,W,,
Agriocnemis_femina,Aus,E_As,Ind,SE_A,T,W,
Ischnura_aurora,Aus,Ind,SE_As,,T,W,
Pseudagrion_microcephalum,Aus,Ind,SE_As,,T,W,
Argiocnemis_rubescens_rubeola,Aus,SE_As,,,T,,
Argiocnemis_rubescens_rubescens,Aus,SE_As,,,T,,
Xiphiagrion_cyanomelas,Aus,SE_As,,,T,,
Acanthagrion_gracile,C_Am,S_Am,,,T,,
Acanthagrion_inexpectum,C_Am,S_Am,,,T,,
Acanthagrion_trilobatum,C_Am,S_Am,,,T,,
Anisagrion_allopterum,C_Am,,,,T,,
Anisagrion_kennedyi,C_Am,,,,T,,
Argia_anceps,C_Am,,,,T,,
Argia_calida,C_Am,,,,T,,
Argia_chelata,C_Am,,,,T,,
Argia_concinna,C_Am,,,,T,,
Argia_fissa,C_Am,,,,T,,
Argia_frequentula,C_Am,,,,T,,
Argia_gaumeri,C_Am,,,,T,,
Argia_johanella,C_Am,,,,T,,
Argia_medullaris,C_Am,,,,T,,
Argia_popoluca,C_Am,,,,T,,
Argia_terira,C_Am,,,,W,,
Argia_ulmeca,C_Am,,,,T,,
Argia_underwoodi,C_Am,,,,W,,
Diceratobasis_melanogaster,C_Am,,,,T,,
Enallagma_coecum,C_Am,,,,T,,
Mecistogaster_modesta,C_Am,,,,T,,
Neoneura_maria,C_Am,,,,T,,
Protoneura_sulfurata,C_Am,,,,T,,
Protoneura_viridis,C_Am,,,,T,,
Telebasis_collopistes,C_Am,,,,T,,
