Iteration	Posterior	Likelihood	Prior	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction[5]	extinction[6]	extinction_hidden[1]	extinction_hidden[2]	extinction_hidden_sd	extinction_hidden_unormalized[1]	extinction_hidden_unormalized[2]	extinction_observed[1]	extinction_observed[2]	extinction_observed[3]	hidden_rate	R[1]	R[2]	rate_category_prior[1]	rate_category_prior[2]	rate_category_prior[3]	rate_category_prior[4]	rate_category_prior[5]	rate_category_prior[6]	speciation[1]	speciation[2]	speciation[3]	speciation[4]	speciation[5]	speciation[6]	speciation_hidden[1]	speciation_hidden[2]	speciation_hidden_sd	speciation_hidden_unormalized[1]	speciation_hidden_unormalized[2]	speciation_observed[1]	speciation_observed[2]	speciation_observed[3]	transition_rates[1]	transition_rates[2]	transition_rates[3]	transition_rates[4]	transition_rates[5]	transition_rates[6]
1000	-4032.862	-4054.575	21.71239	0.00108314	0.0423262	0.00315017	0.00481875	0.188304	0.0140147	0.367048	1.63295	1.106505	0.474105	2.10924	0.00295095	0.115315	0.00858245	0.002530557	0.00253056	0.00253056	0.044955	0.218043	0.0933927	0.412491	0.0805716	0.150547	0.0133984	0.0851008	0.0208517	0.0368794	0.234243	0.057395	0.532973	1.46703	0.7505831	0.602745	1.65908	0.0251389	0.159672	0.0391234	0.000581352	0.00370598	0.00431004	0.00950616	0.00690201	0.00335234
1100	-4023.524	-4054.945	31.42115	9.19829e-05	0.0482305	2.79755e-05	0.000128965	0.0676215	3.9223e-05	0.832622	1.16738	0.2505115	0.844536	1.18408	0.000110474	0.057926	3.35992e-05	0.0003173259	0.000317326	0.000317326	0.194773	0.19469	0.336312	0.124793	0.00148344	0.147949	0.0227884	0.0905154	0.0450093	0.0281184	0.111686	0.0555366	0.895299	1.1047	0.1558015	0.900247	1.11081	0.0254534	0.101101	0.0502729	0.00123323	0.00499848	0.00409144	0.00434018	0.00978541	0.00802122
1200	-4020.581	-4057.038	36.45692	6.61417e-06	0.109844	9.22369e-06	1.32304e-05	0.219721	1.84502e-05	0.666599	1.3334	0.5139434	0.707053	1.41432	9.92226e-06	0.164783	1.38369e-05	0.0009990652	0.000999065	0.000999065	0.100388	0.145792	0.0460951	0.241515	0.281093	0.185117	0.0325859	0.15301	0.0486768	0.0404264	0.189826	0.0603889	0.892614	1.10739	0.1598272	0.897805	1.11383	0.0365061	0.171418	0.0545328	0.000891446	0.00543736	0.00403519	0.00684426	0.0095386	0.00180728
1300	-4022.954	-4057.516	34.5618	1.76895e-05	0.019999	7.36473e-05	8.00705e-05	0.0905242	0.00033336	0.361896	1.6381	1.119318	0.470026	2.12754	4.888e-05	0.0552616	0.000203504	9.951893e-05	9.95189e-05	9.95189e-05	0.133151	0.0346527	0.116515	0.405944	0.108767	0.200971	0.0243397	0.110944	0.0470665	0.0277955	0.126696	0.053749	0.933715	1.06628	0.0984183	0.935773	1.06864	0.0260676	0.11882	0.0504078	0.00031402	0.00190379	0.00341033	0.00564432	0.00875783	0.0083175
1400	-4025.232	-4053.235	28.00321	1.10423e-06	0.0880752	0.00313227	1.37238e-06	0.109463	0.0038929	0.891729	1.10827	0.1611544	0.897002	1.11482	1.2383e-06	0.098769	0.00351258	0.002653912	0.00265391	0.00265391	0.140313	0.259769	0.123902	0.0418393	0.282884	0.151293	0.0200253	0.08555	0.0403374	0.0348558	0.148908	0.070211	0.72977	1.27023	0.4108472	0.757969	1.31931	0.0274405	0.117229	0.0552742	7.09523e-05	0.00774804	0.00342452	0.00190497	0.00796779	0.0106503
1500	-4027.819	-4061.294	33.47538	0.00268342	0.0582313	0.00607776	0.00328995	0.0713932	0.0074515	0.898462	1.10154	0.1510615	0.903129	1.10726	0.00298668	0.0648122	0.00676463	0.0007561781	0.000756178	0.000756178	0.101096	0.330844	0.144049	0.0183521	0.312096	0.0935631	0.0387328	0.109207	0.0570787	0.0686327	0.193511	0.101141	0.721513	1.27849	0.4240859	0.751231	1.33115	0.0536827	0.151359	0.0791098	0.000313703	0.00143811	0.0043841	0.00177679	0.00699039	0.00740179
1600	-4026.26	-4061.406	35.14587	0.000816685	0.146263	9.01906e-06	0.00163118	0.292133	1.80139e-05	0.667264	1.33274	0.5128343	0.707582	1.41326	0.00122393	0.219198	1.35165e-05	0.0001954141	0.000195414	0.000195414	0.0108973	0.107519	0.066667	0.214345	0.432697	0.167875	0.0356007	0.185881	0.0531411	0.0727403	0.379798	0.108579	0.657196	1.3428	0.5296833	0.699586	1.42942	0.0541705	0.282839	0.0808603	0.00105459	0.00158965	0.00426161	0.00292111	0.00733896	0.00782553
1700	-4029.07	-4061.903	32.83334	0.00121086	0.128632	0.00119885	0.0027879	0.296164	0.00276026	0.605617	1.39438	0.6182145	0.659035	1.51737	0.00199938	0.212398	0.00197956	0.0002220681	0.000222068	0.000222068	0.149105	0.166922	0.127557	0.0652911	0.467033	0.0240916	0.0295063	0.163661	0.0524329	0.0697505	0.386882	0.123947	0.594545	1.40546	0.6377566	0.650405	1.5375	0.0496284	0.275271	0.08819	0.0016211	0.000435505	0.00313385	0.00646572	0.00744719	0.00319623
1800	-4023.249	-4055.01	31.76093	0.000408213	0.0548222	2.20911e-06	0.000424943	0.057069	2.29965e-06	0.979919	1.02008	0.02977618	0.980117	1.02029	0.000416578	0.0559456	2.25438e-06	0.0004929741	0.000492974	0.000492974	0.209141	0.0157104	0.200083	0.175335	0.262139	0.137592	0.0327771	0.108076	0.0510785	0.0674154	0.222289	0.105057	0.654283	1.34572	0.5345841	0.697278	1.43415	0.0500962	0.165182	0.078068	0.00161495	0.00671974	0.00417569	0.00911499	0.00673908	0.00330918
1900	-4028.953	-4054.369	25.41617	0.0292975	0.144273	6.11216e-05	0.0638131	0.314243	0.00013313	0.629305	1.3707	0.5770716	0.677579	1.47584	0.0465553	0.229258	9.71255e-05	9.945608e-05	9.94561e-05	9.94561e-05	0.052532	0.40019	0.00626422	0.129142	0.314326	0.0975452	0.0460172	0.17939	0.0571948	0.047892	0.186699	0.059525	0.980036	1.01996	0.02960325	0.980231	1.02017	0.0469546	0.183044	0.0583599	0.00183135	0.00182137	0.00403633	0.00606961	0.0120927	0.00363107
