Iteration	Posterior	Likelihood	Prior	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction[5]	extinction[6]	extinction_hidden[1]	extinction_hidden[2]	extinction_hidden_sd	extinction_hidden_unormalized[1]	extinction_hidden_unormalized[2]	extinction_observed[1]	extinction_observed[2]	extinction_observed[3]	hidden_rate	R[1]	R[2]	rate_category_prior[1]	rate_category_prior[2]	rate_category_prior[3]	rate_category_prior[4]	rate_category_prior[5]	rate_category_prior[6]	speciation[1]	speciation[2]	speciation[3]	speciation[4]	speciation[5]	speciation[6]	speciation_hidden[1]	speciation_hidden[2]	speciation_hidden_sd	speciation_hidden_unormalized[1]	speciation_hidden_unormalized[2]	speciation_observed[1]	speciation_observed[2]	speciation_observed[3]	transition_rates[1]	transition_rates[2]	transition_rates[3]	transition_rates[4]	transition_rates[5]	transition_rates[6]
0	-4264.666	-4324.853	60.18664	0.0017404	0.0017404	0.0017404	0.00465196	0.00465196	0.00465196	0.544526	1.45547	0.7288267	0.611655	1.63491	0.00319618	0.00319618	0.00319618	0.001976461	0.00197646	0.00197646	0.162365	0.110538	0.202151	0.16413	0.207573	0.153244	0.00512743	0.00512743	0.00512743	0.0587962	0.0587962	0.0587962	0.160424	1.83958	1.808383	0.295308	3.38629	0.0319618	0.0319618	0.0319618	0.000250161	0.000492245	0.000460767	0.00150727	8.97422e-05	0.000321242
100	-4022.258	-4053.539	31.28086	7.18272e-05	0.0289515	5.56412e-05	0.000143754	0.0579432	0.00011136	0.666359	1.33364	0.514344	0.706862	1.4147	0.000107791	0.0434474	8.35004e-05	0.0009472857	0.000947286	0.000947286	0.0931691	0.364532	0.198623	0.0312705	0.0148382	0.297567	0.00762441	0.0257499	0.0113036	0.0357244	0.120652	0.0529635	0.351771	1.64823	1.144923	0.461978	2.16461	0.0216744	0.0732009	0.0321336	0.000633819	0.00232459	0.00545312	0.00902784	0.00933073	0.00379474
200	-4021.305	-4053.655	32.35018	5.25527e-06	0.020549	7.61382e-07	2.41447e-05	0.0944101	3.49808e-06	0.357501	1.6425	1.130362	0.466537	2.14345	1.47e-05	0.0574796	2.12973e-06	0.001068678	0.00106868	0.00106868	0.105938	0.172819	0.0760258	0.0748406	0.0770557	0.49332	0.00857723	0.0367878	0.0140285	0.0316531	0.135761	0.0517704	0.426406	1.57359	0.9679364	0.520553	1.92103	0.0201152	0.0862742	0.0328995	0.001117	0.00541471	0.00686826	0.0037521	0.00929616	0.00664694
300	-4024.087	-4055.177	31.0904	0.00105147	0.0265716	2.27634e-06	0.00362406	0.0915836	7.8458e-06	0.449775	1.55022	0.9172917	0.538642	1.85652	0.00233776	0.0590776	5.06107e-06	0.0005939002	0.0005939	0.0005939	0.106567	0.263976	0.335647	0.0126422	0.0426639	0.238504	0.0016924	0.00621635	0.0025617	0.0363519	0.133524	0.0550242	0.0889697	1.91103	2.273646	0.215768	4.63461	0.0190222	0.0698704	0.028793	0.00232297	0.00288891	0.00304555	0.00255281	0.0092105	0.00881459
400	-4024.493	-4061.377	36.88415	0.00319236	0.0379682	5.66384e-05	0.00565906	0.0673058	0.000100402	0.721321	1.27868	0.4243934	0.751076	1.33142	0.00442571	0.052637	7.85203e-05	0.0009144259	0.000914426	0.000914426	0.186196	0.147325	0.136145	0.128704	0.0842289	0.317401	0.00676681	0.0279587	0.012831	0.0288873	0.119355	0.0547751	0.379581	1.62042	1.075904	0.483992	2.06615	0.0178271	0.0736567	0.033803	0.000416658	0.000108799	0.00556758	0.00267081	0.00859997	0.00628874
500	-4031.183	-4060.916	29.73319	0.000244542	0.0716343	0.0176969	0.000388482	0.113799	0.0281136	0.772615	1.22739	0.3431196	0.793398	1.2604	0.000316512	0.0927167	0.0229053	0.0002908626	0.000290863	0.000290863	0.0870774	0.0071158	0.295882	0.158136	0.239851	0.211939	0.0243164	0.135753	0.0563146	0.0275144	0.153607	0.0637208	0.9383	1.0617	0.09159292	0.940091	1.06373	0.0259154	0.14468	0.0600177	0.000296389	0.00271423	0.00450344	0.00900366	0.00941361	0.00121647
600	-4023.217	-4056.192	32.97547	0.00077486	0.0290971	7.10322e-06	0.00193236	0.0725628	1.77141e-05	0.57244	1.42756	0.6774121	0.633239	1.57918	0.00135361	0.0508299	1.24087e-05	0.0005626373	0.000562637	0.000562637	0.264651	0.0428813	0.101919	0.282373	0.0331756	0.275001	0.0163558	0.0537614	0.0223798	0.039827	0.130911	0.0544956	0.582236	1.41776	0.659729	0.640837	1.56046	0.0280914	0.0923361	0.0384377	0.000194514	0.00426018	0.00701887	0.00174967	0.00560785	0.0101225
700	-4021.768	-4051.853	30.08462	0.00635935	0.066323	7.00711e-06	0.00645651	0.0673363	7.11417e-06	0.992419	1.00758	0.01124032	0.992447	1.00761	0.00640793	0.0668297	7.06064e-06	0.0003846492	0.000384649	0.000384649	0.112886	0.329108	0.191612	0.179403	0.0305949	0.156396	0.0372318	0.118467	0.0492769	0.046854	0.149083	0.062012	0.885568	1.11443	0.1704043	0.891423	1.1218	0.0420429	0.133775	0.0556444	0.000525139	0.00173608	0.00480235	0.0123994	0.00750075	0.00404988
800	-4023.627	-4052.609	28.98194	0.00198641	0.0399743	2.34302e-05	0.00353283	0.0710944	4.16707e-05	0.719812	1.28019	0.4268208	0.749847	1.33361	0.00275962	0.0555343	3.25504e-05	0.0002923036	0.000292304	0.000292304	0.193205	0.146746	0.260811	0.00358825	0.179199	0.216451	0.0219919	0.0904902	0.0370345	0.0317876	0.130797	0.0535306	0.817853	1.18215	0.2730993	0.831767	1.20226	0.0268897	0.110644	0.0452825	0.000206653	0.00154263	0.00589882	0.0103631	0.00795332	0.00557365
900	-4025.065	-4054.585	29.52055	0.000153744	0.0643741	0.000255577	0.000172765	0.0723387	0.000287198	0.941743	1.05826	0.08647052	0.943345	1.06006	0.000163254	0.0683564	0.000271388	0.0008504603	0.00085046	0.00085046	0.0379967	0.201326	0.361842	0.00270492	0.24506	0.151071	0.040431	0.110596	0.0529384	0.0629552	0.172209	0.0824304	0.782136	1.21786	0.328267	0.801386	1.24784	0.0516931	0.141402	0.0676844	1.58119e-05	0.00460836	0.00985923	0.000228841	0.00643341	0.00917755
1000	-4026.532	-4057.537	31.00533	0.000192853	0.10411	0.00204497	0.000225167	0.121555	0.00238763	0.922697	1.0773	0.1148394	0.925466	1.08054	0.00020901	0.112832	0.0022163	0.0002431878	0.000243188	0.000243188	0.0384881	0.366113	0.207684	0.0695675	0.300284	0.0178632	0.0314164	0.148762	0.0529132	0.0586819	0.277868	0.0988351	0.697381	1.30262	0.4631655	0.731689	1.3667	0.0450492	0.213315	0.0758742	0.000778562	0.00151309	0.00662263	0.00265839	0.00554881	0.00996831
1100	-4024.961	-4049.962	25.00109	0.00196084	0.0281001	6.91476e-05	0.0025767	0.0369258	9.08654e-05	0.864275	1.13573	0.202476	0.872347	1.14633	0.00226877	0.032513	8.00065e-05	0.000157378	0.000157378	0.000157378	0.224328	0.308927	0.099808	0.288417	0.00854462	0.0699755	0.0224333	0.0820586	0.050614	0.0651809	0.238425	0.147061	0.512093	1.48791	0.7906871	0.58666	1.70457	0.0438071	0.160242	0.0988375	0.00155998	0.000641712	0.00733356	0.0120282	0.010009	0.0013872
1200	-4015.944	-4045.933	29.98892	0.000229766	0.00109266	2.73307e-06	0.000254024	0.00120801	3.0216e-06	0.94986	1.05014	0.07439974	0.951056	1.05146	0.000241895	0.00115034	2.87733e-06	0.0001524787	0.000152479	0.000152479	0.0401628	0.28899	0.531216	0.00338338	0.0823399	0.0539079	0.027797	0.0682838	0.0510205	0.104322	0.256268	0.191479	0.420788	1.57921	0.9804088	0.516192	1.93726	0.0660594	0.162276	0.12125	0.000395543	0.00149835	0.0079931	0.0125326	0.00895321	0.00403871
1300	-4020.928	-4054.543	33.61493	1.17689e-05	3.95899e-06	0.0015683	6.90404e-05	2.32249e-05	0.00920024	0.291275	1.70872	1.311536	0.412872	2.42206	4.04046e-05	1.35919e-05	0.00538427	0.0001463895	0.000146389	0.000146389	0.039688	0.0076946	0.301627	0.167644	0.183925	0.299421	0.0370946	0.0554692	0.0556643	0.290398	0.434245	0.435772	0.226537	1.77346	1.525435	0.357403	2.79796	0.163746	0.244857	0.245718	0.000834805	0.0040229	0.00650141	0.00231099	0.00729413	0.00677641
1400	-4024.95	-4056.047	31.09707	1.21261e-05	3.40696e-05	0.00152352	3.17755e-05	8.9277e-05	0.00399227	0.552421	1.44758	0.714123	0.617752	1.61877	2.19508e-05	6.16733e-05	0.00275789	0.0005790042	0.000579004	0.000579004	0.267415	0.268749	0.0441248	0.103158	0.123591	0.192963	0.0360904	0.061923	0.0538121	0.195055	0.33467	0.290834	0.312275	1.68773	1.250763	0.430147	2.32478	0.115573	0.198297	0.172323	0.00011477	0.0019726	0.00423933	0.0157333	0.00810374	0.00074266
1500	-4019.136	-4065.399	46.26345	2.27626e-05	9.25376e-07	0.000190756	3.70138e-05	1.50473e-06	0.000310184	0.761593	1.23841	0.3603975	0.784205	1.27518	2.98882e-05	1.21505e-06	0.00025047	0.001266154	0.00126615	0.00126615	0.16928	0.265155	0.18257	0.282419	0.064892	0.0356843	0.0292834	0.043478	0.0530934	0.0882687	0.131055	0.160039	0.498221	1.50178	0.8179241	0.575981	1.73617	0.058776	0.0872666	0.106566	0.00108775	0.00300345	0.00554489	0.00120049	0.00862846	0.006273
1600	-4018.684	-4063.989	45.30553	1.49827e-06	0.0134713	7.76128e-07	3.11972e-06	0.0280502	1.61607e-06	0.648883	1.35112	0.5436951	0.693006	1.44299	2.30899e-06	0.0207607	1.1961e-06	0.0004312172	0.000431217	0.000431217	0.0604426	0.125218	0.0551774	0.211105	0.123185	0.424872	0.031268	0.0723797	0.0576862	0.116175	0.268923	0.21433	0.424138	1.57586	0.9729561	0.518794	1.92755	0.0737213	0.170651	0.136008	0.00199851	0.000173447	0.00533729	0.00347051	0.0074647	0.00613067
1700	-4016.385	-4052.061	35.67542	0.000263503	0.0327432	3.25881e-06	0.000313832	0.0389971	3.88124e-06	0.912826	1.08717	0.129573	0.916314	1.09133	0.000288668	0.0358701	3.57003e-06	0.0001704362	0.000170436	0.000170436	0.0447595	0.255186	0.0649313	0.0595633	0.216036	0.359524	0.0302749	0.0828395	0.0521203	0.135647	0.371164	0.233526	0.364929	1.63507	1.111759	0.472428	2.11672	0.082961	0.227002	0.142823	7.73611e-06	0.00109757	0.00554364	0.00947898	0.00940483	0.00174462
1800	-4022.249	-4049.899	27.64926	0.000303344	0.0586932	1.61778e-05	0.000469101	0.090765	2.50178e-05	0.785413	1.21459	0.3231697	0.804146	1.24356	0.000386222	0.0747291	2.05978e-05	0.0002593504	0.00025935	0.00025935	0.0741718	0.0139466	0.534941	0.14581	0.0164649	0.214666	0.0307528	0.108885	0.0605923	0.174563	0.618067	0.343942	0.299566	1.70043	1.287125	0.419726	2.38251	0.102658	0.363476	0.202267	0.000852035	0.00236543	0.00465067	0.00485343	0.00962546	0.00759856
1900	-4028.374	-4062.78	34.40664	0.000317794	0.0128758	0.00030972	0.000425683	0.0172471	0.000414868	0.854886	1.14511	0.2166764	0.864032	1.15737	0.000371739	0.0150614	0.000362294	0.0001643943	0.000164394	0.000164394	0.105764	0.0679901	0.243048	0.0319945	0.110792	0.440411	0.0284823	0.0914725	0.0561653	0.220537	0.708266	0.434885	0.228756	1.77124	1.517282	0.359374	2.78261	0.12451	0.399869	0.245525	0.00139641	0.0015317	0.00486305	0.00352844	0.0077352	0.00431877
2000	-4025.382	-4049.162	23.77928	0.00010435	0.0206221	3.65925e-05	0.000149113	0.0294685	5.22898e-05	0.823392	1.17661	0.2646134	0.836542	1.1954	0.000126731	0.0250453	4.44412e-05	0.0001392165	0.000139217	0.000139217	0.0883052	0.331822	0.181214	0.169925	0.192263	0.0364706	0.0312638	0.0877155	0.0578959	0.225981	0.634026	0.418484	0.243066	1.75693	1.466288	0.37195	2.68853	0.128623	0.360871	0.23819	0.00183744	0.00439877	0.00489641	0.00704609	0.0109069	0.00460765
2100	-4015.779	-4044.098	28.31996	1.87837e-05	0.0520037	7.38643e-06	3.00839e-05	0.0832888	1.18301e-05	0.768759	1.23124	0.3491528	0.790176	1.26554	2.44338e-05	0.0676463	9.60825e-06	5.033863e-05	5.03386e-05	5.03386e-05	0.258118	0.40728	0.286587	0.00513975	0.0223667	0.0205082	0.0323603	0.106074	0.0536003	0.158981	0.521123	0.263329	0.338248	1.66175	1.18004	0.451164	2.21649	0.0956705	0.313598	0.158465	0.000617266	0.00516274	0.00673442	0.0092896	0.00871585	0.00236386
2200	-4017.38	-4060.65	43.27009	0.000220696	0.0365773	2.21626e-06	0.00040545	0.0671978	4.07159e-06	0.704934	1.29507	0.4508686	0.737782	1.35541	0.000313073	0.0518875	3.14392e-06	7.995306e-05	7.99531e-05	7.99531e-05	0.273715	0.352072	0.155828	0.0105842	0.0815647	0.126236	0.0270371	0.086754	0.0543838	0.141439	0.453836	0.284498	0.32096	1.67904	1.226602	0.437215	2.2872	0.0842382	0.270295	0.169441	7.72055e-05	0.000432199	0.00518291	0.000529641	0.00824825	0.00596662
2300	-4016.72	-4046.477	29.75644	1.5122e-05	0.034069	1.81008e-05	1.71194e-05	0.0385691	2.04917e-05	0.938048	1.06195	0.09196802	0.939853	1.064	1.61207e-05	0.036319	1.92963e-05	0.000105028	0.000105028	0.000105028	0.129363	0.228915	0.0987898	0.245765	0.19796	0.0992073	0.0290259	0.0895026	0.0518992	0.181279	0.558983	0.324133	0.276036	1.72396	1.357953	0.400146	2.49909	0.105153	0.324243	0.188016	0.0011907	0.00148944	0.00482252	0.0134229	0.00779486	0.00314065
2400	-4020.482	-4054.555	34.0725	8.54391e-06	0.0422523	0.00084977	2.38408e-05	0.1179	0.00237119	0.52765	1.47235	0.7607089	0.598643	1.67045	1.61924e-05	0.0800763	0.00161048	7.805992e-05	7.80599e-05	7.80599e-05	0.0793509	0.0135837	0.222715	0.228635	0.324434	0.131281	0.029881	0.0943509	0.0539367	0.155182	0.489996	0.280112	0.322928	1.67707	1.221202	0.43881	2.27889	0.0925316	0.292174	0.167024	0.000944591	0.00250067	0.0052185	0.00120263	0.00761556	0.00665321
2500	-4018.567	-4050.51	31.94342	5.2538e-06	0.0917746	2.81967e-06	1.25796e-05	0.219744	6.75138e-06	0.589208	1.41079	0.6472499	0.646254	1.54738	8.9167e-06	0.155759	4.78552e-06	0.0001706396	0.00017064	0.00017064	0.161941	0.0968701	0.192134	0.302662	0.113697	0.132696	0.0365463	0.124072	0.0486149	0.150752	0.511792	0.200535	0.390247	1.60975	1.050466	0.492368	2.031	0.0936491	0.317932	0.124575	0.000179889	0.00407131	0.00353219	0.009327	0.00800808	0.00550056
2600	-4032.951	-4060.997	28.04629	0.00379011	0.000664168	0.0026224	0.00959078	0.00168066	0.00663592	0.566496	1.4335	0.688229	0.628636	1.59075	0.00669045	0.00117241	0.00462916	0.0002769467	0.000276947	0.000276947	0.219599	0.0242248	0.0724623	0.00972094	0.259762	0.414231	0.0332464	0.0594476	0.0649395	0.140668	0.251527	0.274763	0.382331	1.61767	1.069293	0.486155	2.05696	0.0869571	0.155487	0.169851	0.000130073	0.0035379	0.00840582	0.00104631	0.00742609	0.0066389
