Iteration	Posterior	Likelihood	Prior	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction[5]	extinction[6]	extinction_hidden[1]	extinction_hidden[2]	extinction_hidden_sd	extinction_hidden_unormalized[1]	extinction_hidden_unormalized[2]	extinction_observed[1]	extinction_observed[2]	extinction_observed[3]	hidden_rate	R[1]	R[2]	rate_category_prior[1]	rate_category_prior[2]	rate_category_prior[3]	rate_category_prior[4]	rate_category_prior[5]	rate_category_prior[6]	speciation[1]	speciation[2]	speciation[3]	speciation[4]	speciation[5]	speciation[6]	speciation_hidden[1]	speciation_hidden[2]	speciation_hidden_sd	speciation_hidden_unormalized[1]	speciation_hidden_unormalized[2]	speciation_observed[1]	speciation_observed[2]	speciation_observed[3]	transition_rates[1]	transition_rates[2]	transition_rates[3]	transition_rates[4]	transition_rates[5]	transition_rates[6]
1000	41.15763	0	41.15763	0.0365209	0.00192046	8.66136	0.04734	0.00248939	11.2273	0.870987	1.12901	0.1923469	0.878327	1.13853	0.0419304	0.00220492	9.94431	0.001458261	0.00145826	0.00145826	0.0221086	0.373222	0.10605	0.190168	0.261155	0.0472967	0.0857713	0.0517233	0.0521412	0.229643	0.138483	0.139602	0.543865	1.45614	0.7300634	0.611145	1.63627	0.157707	0.0951033	0.0958716	0.000375854	0.00138563	0.000731506	0.00157235	0.00151868	0.000163215
1100	50.1021	0	50.1021	0.0244242	11.0809	0.00675934	0.0491685	22.307	0.0136073	0.663766	1.33623	0.5186734	0.704801	1.41884	0.0367963	16.694	0.0101833	0.004191258	0.00419126	0.00419126	0.463542	0.177068	0.182254	0.036054	0.013339	0.127743	0.0433119	0.00920707	6.61313e-06	0.060334	0.0128255	9.21216e-06	0.835767	1.16423	0.2457172	0.847272	1.18026	0.051823	0.0110163	7.91264e-06	0.000134657	0.00146107	0.000587473	0.000306495	0.00181174	0.00030924
1200	55.01058	0	55.01058	0.000611247	0.0235367	0.0552552	0.00148171	0.0570547	0.133943	0.584099	1.4159	0.6563857	0.642284	1.55694	0.00104648	0.0402957	0.0945991	0.0003239227	0.000323923	0.000323923	0.17183	0.300132	0.273877	0.060006	0.00941514	0.184741	0.0414289	0.215005	0.0316714	0.0503596	0.261353	0.0384987	0.902703	1.0973	0.1447105	0.907006	1.10253	0.0458943	0.238179	0.035085	0.000569172	7.98557e-06	0.000214837	0.000281191	0.000214853	0.000303925
1300	73.75158	0	73.75158	0.0359533	0.0104937	6.75734e-06	0.0481878	0.0140646	9.05678e-06	0.854595	1.1454	0.2171162	0.863775	1.15771	0.0420705	0.0122791	7.90706e-06	0.003779492	0.00377949	0.00377949	0.277342	0.175494	0.184101	0.0642534	0.0401779	0.258632	1.79727e-06	0.0765436	1.13733e-06	5.19295e-06	0.221161	3.28615e-06	0.514225	1.48577	0.7865431	0.588302	1.69981	3.49511e-06	0.148852	2.21174e-06	8.88619e-05	0.000494686	0.00112496	0.00054999	0.000455275	0.00112564
1400	77.46144	0	77.46144	3.79047e-06	7.57277e-05	0.957684	7.3839e-06	0.000147519	1.86559	0.678422	1.32158	0.494309	0.716479	1.39571	5.58718e-06	0.000111623	1.41164	0.0006216182	0.000621618	0.000621618	0.0498445	0.0902294	0.617431	0.00273982	0.0801814	0.159574	0.00593611	6.76969e-06	1.06452e-06	0.053833	6.13925e-05	9.65384e-06	0.198635	1.80137	1.634445	0.332068	3.01143	0.0298846	3.40811e-05	5.35918e-06	8.19224e-05	0.00123925	0.000372617	8.77425e-05	2.72643e-05	0.000849536
1500	54.13552	0	54.13552	0.0166334	0.335008	0.0225064	0.0395434	0.79643	0.0535056	0.592181	1.40782	0.6419559	0.648565	1.54186	0.0280884	0.565719	0.038006	0.000302294	0.000302294	0.000302294	0.375446	0.0315665	0.234773	0.0990637	0.0547683	0.204382	0.0689814	9.95519e-06	0.152079	0.163961	2.36624e-05	0.361476	0.59226	1.40774	0.641815	0.648627	1.54172	0.116471	1.68088e-05	0.256777	0.000140909	0.000241745	0.00030679	0.000389801	0.00113368	0.000684225
1600	53.58733	0	53.58733	0.00657682	6.76271e-05	0.353938	0.0500516	0.000514662	2.69357	0.23228	1.76772	1.504472	0.362493	2.75868	0.0283142	0.000291145	1.52375	0.004773092	0.00477309	0.00477309	0.0846035	0.445849	0.0040662	0.432349	0.0314524	0.00168082	3.21152e-06	8.30262	0.00027117	4.96774e-06	12.8429	0.00041946	0.785283	1.21472	0.3233723	0.804036	1.24373	4.08963e-06	10.5728	0.000345315	6.41606e-05	0.000698576	0.000853214	8.32069e-05	0.00107353	0.00104058
1700	58.4282	0	58.4282	19.1784	2.97666e-05	0.000598298	24.1076	3.74173e-05	0.000752074	0.886123	1.11388	0.1695693	0.891925	1.12117	21.643	3.3592e-05	0.000675186	0.0003041547	0.000304155	0.000304155	0.248333	0.0313481	0.600944	0.0250299	0.0253332	0.0690115	1.15176	0.00043399	0.010325	2.69127	0.00101409	0.0241261	0.599401	1.4006	0.6291609	0.654187	1.52862	1.92152	0.000724039	0.0172256	0.000380259	8.95359e-06	0.000289501	0.000656717	0.00019633	0.00119734
1800	64.40942	0	64.40942	4.73387e-05	0.00013908	4.3962e-05	6.33391e-05	0.000186088	5.8821e-05	0.855433	1.14457	0.2158477	0.864515	1.15672	5.53389e-05	0.000162584	5.13915e-05	2.000812e-05	2.00081e-05	2.00081e-05	0.0295538	0.0762258	0.412488	0.12559	0.33004	0.0261024	0.0155092	21.5313	0.156854	0.0158885	22.0579	0.16069	0.987918	1.01208	0.01791299	0.987991	1.01216	0.0156988	21.7946	0.158772	0.000590628	0.000573373	0.00126947	0.000343671	0.00043437	0.000669757
1900	73.77546	0	73.77546	4.79024e-05	1.10037e-05	2.96634e-05	8.17654e-05	1.87823e-05	5.06329e-05	0.738848	1.26115	0.396365	0.76541	1.30649	6.48339e-05	1.4893e-05	4.01481e-05	0.0002963093	0.000296309	0.000296309	0.474255	0.189941	0.0194445	0.178297	0.107813	0.0302487	0.00499053	0.00611815	0.19683	0.00546334	0.00669779	0.215478	0.954772	1.04523	0.06710122	0.95575	1.0463	0.00522693	0.00640797	0.206154	0.000291063	0.00141619	0.000571833	0.000178955	0.000200737	0.00224637
2000	28.09085	0	28.09085	7.84617	6.30501	0.00395485	8.87852	7.13458	0.0044752	0.938274	1.06173	0.09163132	0.940067	1.06375	8.36234	6.71979	0.00421503	0.0007067695	0.000706769	0.000706769	0.00290758	0.449725	0.0272825	0.0761692	0.407026	0.0368895	83.0587	50.146	0.00932482	103.888	62.7217	0.0116633	0.88858	1.11142	0.1658801	0.894148	1.11838	93.4735	56.4338	0.0104941	0.000437303	0.000180493	0.00103682	0.000147957	0.0021517	0.0010761
2000	56.07255	0	56.07255	1.41323e-06	0.665259	3.37942e-05	1.16413e-05	5.48	0.000278376	0.216511	1.78349	1.563169	0.348422	2.87008	6.52728e-06	3.07263	0.000156085	0.0003670748	0.000367075	0.000367075	0.0144638	0.0913048	0.111324	0.0883345	0.599875	0.0946978	2.15151e-06	0.766301	0.00976287	1.44944e-05	5.16245	0.065771	0.258503	1.7415	1.4141	0.385276	2.59554	8.32296e-06	2.96438	0.0377669	0.000498951	0.00222813	0.000294247	0.000275571	0.000594056	0.00411436
2100	82.67769	0	82.67769	0.000152594	6.98671e-06	0.00210393	0.00020458	9.36696e-06	0.00282071	0.854452	1.14555	0.2173339	0.863648	1.15788	0.000178587	8.17683e-06	0.00246232	2.161872e-06	2.16187e-06	2.16187e-06	0.485804	0.104594	0.0974909	0.102443	0.197446	0.0122223	0.000790024	0.000540312	1.4666e-05	0.00161451	0.00110419	2.99718e-05	0.657113	1.34289	0.5298236	0.69952	1.42955	0.00120227	0.000822252	2.23189e-05	0.000429386	0.000928736	0.000188914	0.00206054	0.000331529	0.000291097
2200	46.15228	0	46.15228	3.1255e-05	5.30044e-07	5.70594e-07	0.000225411	3.82268e-06	4.11513e-06	0.243546	1.75645	1.464623	0.372368	2.68552	0.000128333	2.17636e-06	2.34286e-06	0.0004742031	0.000474203	0.000474203	0.156193	0.0487734	0.273616	0.0878397	0.0363872	0.39719	1.72624	19.1177	3.06721	7.40058	81.9599	13.1495	0.378278	1.62172	1.079048	0.482967	2.07053	4.56341	50.5388	8.10835	0.000238901	0.00278494	0.00130352	0.00528794	0.000267304	0.00156468
2300	55.22909	0	55.22909	0.000135593	0.42632	4.93718e-07	0.000454361	1.42856	1.6544e-06	0.459675	1.54033	0.8964038	0.546285	1.83055	0.000294977	0.927438	1.07406e-06	0.0001661724	0.000166172	0.000166172	0.10663	0.189401	0.428686	0.143134	0.0467185	0.0854299	12.8	3.68223	0.0664331	14.2341	4.09479	0.0738764	0.946951	1.05305	0.07872488	0.948286	1.05453	13.517	3.88851	0.0701547	4.91554e-05	0.000234186	0.000175598	0.000395861	0.000175588	0.000588892
2400	55.29354	0	55.29354	3.55994	1.25545	0.00223664	5.6675	1.99871	0.00356078	0.771598	1.2284	0.3447094	0.792547	1.26175	4.61372	1.62708	0.00289871	0.000612541	0.000612541	0.000612541	0.0789368	0.0388073	0.0844781	0.174185	0.423954	0.199639	2.81494e-06	0.028832	0.112515	3.3171e-06	0.0339754	0.132587	0.918109	1.08189	0.1216847	0.921203	1.08554	3.06602e-06	0.0314037	0.122551	0.000769521	0.000152364	0.000848915	0.000337346	5.36659e-05	0.000733186
2500	50.78143	0	50.78143	0.0318345	38.3398	1.19813e-06	0.0335289	40.3805	1.2619e-06	0.974077	1.02592	0.03844223	0.974404	1.02627	0.0326817	39.3602	1.23001e-06	0.0003739386	0.000373939	0.000373939	0.130106	0.0136018	0.125335	0.145705	0.255348	0.329905	0.00583781	0.758803	0.0876686	0.00586802	0.76273	0.0881223	0.997419	1.00258	0.003826507	0.997422	1.00258	0.00585291	0.760767	0.0878954	0.00166246	0.00091316	0.00214661	0.000777331	0.000472118	0.000507013
2600	41.38093	0	41.38093	12.0785	0.886376	0.0331426	13.8601	1.01711	0.0380311	0.931317	1.06868	0.1019908	0.933521	1.07121	12.9693	0.951746	0.0355868	2.193889e-06	2.19389e-06	2.19389e-06	0.136695	0.0893249	0.221626	0.14482	0.17961	0.227924	0.288894	0.00110823	3.90553	0.29908	0.0011473	4.04324	0.982676	1.01732	0.02568779	0.982823	1.01748	0.293987	0.00112777	3.97438	0.00112952	0.00014523	0.000882675	6.99467e-06	0.0010699	0.000164159
2700	40.8371	0	40.8371	0.0893678	0.0111335	6.59019e-05	0.120726	0.0150401	8.90261e-05	0.850743	1.14926	0.222955	0.86038	1.16228	0.105047	0.0130868	7.7464e-05	0.0002806864	0.000280686	0.000280686	0.0675247	0.0236167	0.248845	0.12656	0.446706	0.0867479	0.000304857	3.02999	5.87184	0.00469272	46.6412	90.3864	0.122002	1.878	2.026662	0.25488	3.92342	0.00249879	24.8356	48.1291	2.04768e-05	0.00147099	0.00205592	0.000846344	0.00176277	0.000373166
2800	56.19505	0	56.19505	0.0018795	2.38768	9.88621e-07	0.00372286	4.72945	1.95823e-06	0.670967	1.32903	0.5066701	0.71053	1.4074	0.00280118	3.55857	1.47343e-06	0.0008080226	0.000808023	0.000808023	0.0168612	0.0446199	0.0285629	0.817618	0.0766218	0.0157158	45.3383	9.774e-07	18.0801	65.1308	1.40409e-06	25.9731	0.820832	1.17917	0.2685331	0.834333	1.19856	55.2346	1.19074e-06	22.0266	0.000408203	0.000797503	0.00016012	0.00150469	0.000288755	0.000357183
2900	63.04421	0	63.04421	0.000215238	2.8353	5.59034e-05	0.000276963	3.64839	7.19349e-05	0.874595	1.12541	0.18691	0.881554	1.13436	0.0002461	3.24184	6.39191e-05	0.0002088937	0.000208894	0.000208894	0.153725	0.170529	0.0268681	0.379898	0.09908	0.1699	1.17379	0.000162351	6.47778e-05	7.18071	0.000993192	0.000396282	0.280995	1.719	1.342618	0.404307	2.47337	4.17725	0.000577772	0.00023053	0.000956	0.000139111	0.000755403	4.48929e-05	0.000285557	0.000771883
3000	61.02739	0	61.02739	2.23271e-05	0.00625581	0.0868238	6.80178e-05	0.0190578	0.264502	0.494264	1.50574	0.8257852	0.572935	1.7454	4.51724e-05	0.0126568	0.175663	0.0003211	0.0003211	0.0003211	0.0167681	0.0443694	0.022475	0.280168	0.305841	0.330379	5.43002e-05	1.17859e-05	3.23174	0.000453257	9.83802e-05	26.9761	0.213967	1.78603	1.57299	0.346121	2.88916	0.000253779	5.50831e-05	15.1039	0.000208075	0.000380139	0.00070787	0.000682719	0.00128375	0.000214411
3100	64.65739	0	64.65739	0.0100941	5.10424e-06	0.000306657	0.0903882	4.57061e-05	0.00274597	0.200913	1.79909	1.625051	0.334178	2.99241	0.0502412	2.54051e-05	0.00152631	0.001371852	0.00137185	0.00137185	0.176485	0.542452	0.112417	0.0489114	0.0273043	0.0924306	41.6091	7.11579e-05	2.59771e-05	83.9253	0.000143525	5.23958e-05	0.662911	1.33709	0.5201035	0.704121	1.42021	62.7672	0.000107342	3.91865e-05	4.52264e-05	0.000510716	0.000347662	0.000498519	0.000998687	0.000425583
3200	67.03861	0	67.03861	6.26188	6.38357e-06	1.5837e-05	9.5222	9.70725e-06	2.40828e-05	0.793442	1.20656	0.3107134	0.81093	1.23315	7.89204	8.04541e-06	1.99599e-05	0.0003052756	0.000305276	0.000305276	0.466233	0.0333028	0.0468524	0.151763	0.103019	0.19883	0.000741276	22.6441	2.41995e-05	0.00096379	29.4414	3.14637e-05	0.869498	1.1305	0.1945921	0.876998	1.14025	0.000852533	26.0427	2.78316e-05	0.000131448	0.000312949	0.000302724	0.00122005	0.000544051	0.00137412
3300	57.39327	0	57.39327	3.85315e-06	54.5979	5.41994e-06	8.18417e-06	115.967	1.15121e-05	0.640201	1.3598	0.5584297	0.686153	1.4574	6.01866e-06	85.2825	8.466e-06	0.0001417003	0.0001417	0.0001417	0.485581	0.0598947	0.124869	0.0140308	0.298634	0.0169904	1.07548	3.65794e-05	29.1435	3.12365	0.000106242	84.6447	0.512241	1.48776	0.7903986	0.586774	1.70423	2.09957	7.14106e-05	56.8941	0.000332985	0.000202788	1.38991e-05	3.88626e-05	0.00143806	5.87986e-05
3400	53.17235	0	53.17235	0.000536251	0.212817	3.9546e-06	0.000912233	0.36203	6.7273e-06	0.74043	1.25957	0.3938488	0.76671	1.30427	0.000724242	0.287424	5.34095e-06	0.001200912	0.00120091	0.00120091	0.0632678	0.0884548	0.0362265	0.0811663	0.111701	0.619184	4.66905	3.71443e-05	7.88852	16.1769	0.000128694	27.3314	0.447957	1.55204	0.9211627	0.537238	1.86137	10.423	8.29192e-05	17.61	0.000738311	0.00141269	7.81822e-06	0.00127656	0.000457327	0.00102319
