Iteration	Replicate_ID	Posterior	Likelihood	Prior	prob_gain_A_indep	prob_gain_B_indep	prob_loss_A_indep	prob_loss_B_indep	rate_gain_A_when_B0	rate_gain_A_when_B1	rate_gain_B_when_A0	rate_gain_B_when_A1	rate_loss_A_when_B0	rate_loss_A_when_B1	rate_loss_B_when_A0	rate_loss_B_when_A1	rf[1]	rf[2]	rf[3]	rf[4]
30	0	-294.26	-313.4374	19.1774	0	0	0	1	0.002357282	0.0002462477	0.001752965	0.009344405	0.003277706	0.00293115	0.005021426	0.005021426	0.131351	0.100297	0.0126592	0.755693
31	1	-299.9533	-306.7873	6.834001	1	0	1	1	0.004586722	0.004586722	0.001276853	0.009610875	0.002157059	0.002157059	0.005772074	0.005772074	0.430746	0.194758	0.116588	0.257908
32	0	-293.7588	-304.7444	10.98552	0	0	1	1	0.004727713	6.358446e-05	0.00181643	0.01056724	0.00406391	0.00406391	0.004645431	0.004645431	0.963515	0.0230456	0.000106356	0.0133334
33	1	-299.2181	-306.5656	7.347501	1	0	1	1	0.003907754	0.003907754	0.001684149	0.01218375	0.002572909	0.002572909	0.0026186	0.0026186	0.621159	0.283058	0.0169985	0.0787843
34	0	-298.3306	-313.6639	15.33331	1	0	1	0	0.002500608	0.002500608	0.001383811	0.009716769	0.002345083	0.002345083	0.003245255	0.002997649	0.413516	0.0213776	0.173339	0.391767
35	1	-294.56	-305.4105	10.85054	1	0	1	0	0.004346136	0.004346136	0.001660282	0.01085618	0.002660943	0.002660943	0.002094501	0.004380992	0.506371	0.0305262	0.14408	0.319023
36	0	-300.8748	-303.3106	2.435843	1	0	1	1	0.004506762	0.004506762	0.001059098	0.01324398	0.002099606	0.002099606	0.00623209	0.00623209	0.36993	0.286336	0.0562805	0.287454
37	1	-288.3253	-304.4799	16.15451	0	0	1	0	0.003783342	0.0009364846	0.001439307	0.01204148	0.003727132	0.003727132	0.0009597794	0.004612778	0.529729	0.328395	0.0110637	0.130812
38	0	-298.4286	-301.7778	3.34924	1	0	0	1	0.005814683	0.005814683	0.002077752	0.01372812	0.002898467	0.0009677482	0.006887543	0.006887543	0.409163	0.135071	0.273565	0.182201
39	1	-293.7159	-312.4519	18.73602	1	0	1	0	0.003511653	0.003511653	0.001438557	0.008802359	0.001371926	0.001371926	2.39655e-05	0.004148784	0.398119	0.220414	0.0633066	0.31816
40	0	-301.6072	-309.3061	7.698966	1	0	1	1	0.003701214	0.003701214	0.001259456	0.0113576	0.001501036	0.001501036	0.004849156	0.004849156	0.0567505	0.122933	0.0876052	0.732712
41	1	-295.1534	-310.8251	15.67178	1	0	1	0	0.003717321	0.003717321	0.001790774	0.01159344	0.001480707	0.001480707	0.001357592	0.001961668	0.644352	0.0826828	0.184974	0.0879905
42	0	-300.4214	-307.5338	7.11232	1	0	1	1	0.0029949	0.0029949	0.00169513	0.01266353	0.002067638	0.002067638	0.003745842	0.003745842	0.390313	0.228926	0.343209	0.0375522
43	1	-296.0147	-308.4339	12.41921	1	0	1	0	0.003765268	0.003765268	0.001584971	0.009016498	0.00257548	0.00257548	0.003379271	0.004344347	0.48496	0.241615	0.134205	0.13922
44	0	-300.0168	-308.003	7.986172	1	0	1	1	0.004198003	0.004198003	0.0008715018	0.01024583	0.00346222	0.00346222	0.003646811	0.003646811	0.526162	0.276039	0.155848	0.0419512
45	1	-294.3521	-304.2001	9.848043	1	0	0	1	0.003403419	0.003403419	0.001904999	0.01072514	0.00273826	0.001130244	0.006948985	0.006948985	0.801094	0.0998189	0.0130592	0.0860276
46	0	-291.32	-308.3319	17.01186	0	0	1	0	0.005039353	0.0003017087	0.00173147	0.01006956	0.005478688	0.005478688	0.0004773768	0.003673498	0.380414	0.244178	0.343238	0.0321705
47	1	-296.5796	-308.7065	12.12691	1	0	0	1	0.005017798	0.005017798	0.001614638	0.01092454	0.001600939	0.001645717	0.004110628	0.004110628	0.0947407	0.0667983	0.371069	0.467392
48	0	-294.5677	-306.7576	12.18984	1	0	1	0	0.004372815	0.004372815	0.001468438	0.009759673	0.00246343	0.00246343	0.0008730755	0.005923347	0.282832	0.279107	0.18474	0.25332
49	1	-295.7394	-304.7806	9.041256	0	0	1	1	0.004387301	0.001403727	0.001744098	0.01315885	0.002880587	0.002880587	0.003962162	0.003962162	0.188123	0.104522	0.450965	0.25639
50	0	-288.8261	-303.4116	14.58553	1	0	0	0	0.004194318	0.004194318	0.001574646	0.01145532	0.002785975	0.001745559	0.001144509	0.00593344	0.688356	0.0964769	0.0574625	0.157705
51	1	-303.2403	-314.7526	11.51231	1	0	1	1	0.003596725	0.003596725	0.0009618511	0.01207809	0.001349633	0.001349633	0.001441235	0.001441235	0.256682	0.181212	0.408422	0.153685
52	0	-294.7082	-307.7222	13.01406	1	0	1	0	0.003878606	0.003878606	0.001125419	0.009308656	0.003277825	0.003277825	0.0006310545	0.005938721	0.281794	0.329622	0.0219174	0.366666
53	1	-302.076	-308.2121	6.136041	1	0	1	1	0.004421265	0.004421265	0.0009952415	0.009201188	0.002906904	0.002906904	0.006472174	0.006472174	0.14042	0.57595	0.016343	0.267287
54	0	-289.4097	-307.6732	18.26347	0	0	0	1	0.004227503	0.0002489649	0.002003126	0.01098826	0.003072897	0.002250865	0.00291631	0.00291631	0.679757	0.132428	0.187081	0.000734079
55	1	-295.6821	-309.501	13.81895	1	0	0	1	0.003005945	0.003005945	0.002111022	0.01021055	0.003798654	9.239849e-05	0.004257638	0.004257638	0.412839	0.273028	0.0924772	0.221655
56	0	-296.8076	-310.841	14.0334	1	0	1	0	0.004398263	0.004398263	0.001176302	0.00784904	0.004776967	0.004776967	0.0002191903	0.004874187	0.198245	0.338632	0.00609363	0.457029
