Iteration	Posterior	Likelihood	Prior	prob_gain_A_indep	prob_gain_B_indep	prob_loss_A_indep	prob_loss_B_indep	rate_gain_A_when_B0	rate_gain_A_when_B1	rate_gain_B_when_A0	rate_gain_B_when_A1	rate_loss_A_when_B0	rate_loss_A_when_B1	rate_loss_B_when_A0	rate_loss_B_when_A1	rf[1]	rf[2]	rf[3]	rf[4]
3100	-302.8077	-305.7524	2.944666	1	0	1	1	0.003590154	0.003590154	0.002730583	0.009454817	0.003682268	0.003682268	0.007251267	0.007251267	0.599292	0.0108908	0.201023	0.188795
3200	-296.7599	-311.298	14.53808	0	0	1	1	0.004653607	0.002015563	0.001653819	0.01026539	0.00241683	0.00241683	0.001859826	0.001859826	0.36389	0.051485	0.475257	0.109368
3300	-300.0556	-315.5094	15.45381	0	0	1	1	0.003131029	0.002132064	0.002676416	0.0101246	0.001255899	0.001255899	0.002766752	0.002766752	0.353233	0.535795	0.055171	0.0558016
3400	-303.4495	-309.7279	6.278427	1	0	1	1	0.002823083	0.002823083	0.002403399	0.01125077	0.001774816	0.001774816	0.005623696	0.005623696	0.14066	0.654102	0.00743105	0.197807
3500	-296.213	-305.4971	9.284128	0	0	0	1	0.002662046	0.001512938	0.001111468	0.01317265	0.003032372	0.004817401	0.0070305	0.0070305	0.365737	0.32677	0.121877	0.185616
3600	-291.4771	-306.2276	14.75052	1	0	0	0	0.004334471	0.004334471	0.001368884	0.01447556	0.004795222	0.0008670549	0.0006488224	0.002203533	0.428287	0.322801	0.186972	0.0619409
3700	-303.889	-300.8429	-3.046156	1	0	1	1	0.004274769	0.004274769	0.002135672	0.01773547	0.001739087	0.001739087	0.005915637	0.005915637	0.614606	0.256733	0.116768	0.0118928
3800	-295.0686	-316.2881	21.21956	1	0	0	0	0.003874528	0.003874528	0.001022014	0.01016802	0.004151524	0.002669643	0.0005193568	0.0007904871	0.129584	0.0598769	0.31935	0.491189
3900	-295.8494	-306.6113	10.76189	1	0	0	1	0.004400327	0.004400327	0.001572968	0.009737086	0.004905603	0.001940324	0.003518064	0.003518064	0.385882	0.243751	0.0452445	0.325123
4000	-295.5647	-312.7379	17.17325	1	0	0	1	0.005099626	0.005099626	0.001331967	0.008058307	0.002519332	3.981515e-05	0.00357638	0.00357638	0.246592	0.305663	0.0906183	0.357127
4100	-294.2528	-309.0414	14.78864	0	0	1	1	0.003837203	0.0002914543	0.0006821371	0.009958914	0.003120887	0.003120887	0.004761484	0.004761484	0.647367	0.20598	0.138055	0.00859846
4200	-297.1906	-300.8134	3.622748	1	0	0	1	0.004377092	0.004377092	0.002210216	0.01399946	0.004417796	0.001970347	0.005166946	0.005166946	0.644807	0.277031	0.03211	0.0460513
4300	-297.3223	-309.9048	12.58243	1	0	0	1	0.003013692	0.003013692	0.00155817	0.008880219	0.00435344	0.002852151	0.003869447	0.003869447	0.334957	0.293569	0.250223	0.121251
4400	-295.2156	-311.0436	15.82795	1	0	0	1	0.004107249	0.004107249	0.002023482	0.009495831	0.001700634	0.0009965683	0.003445018	0.003445018	0.155566	0.00103366	0.353567	0.489833
4500	-295.6881	-310.6157	14.92759	1	0	0	1	0.004898139	0.004898139	0.001321987	0.01141619	0.001000411	0.0003377001	0.003559569	0.003559569	0.240652	0.0192573	0.417952	0.322139
4600	-299.4835	-311.3875	11.90398	1	0	1	1	0.003345091	0.003345091	0.001562405	0.009689445	0.001894727	0.001894727	0.002602991	0.002602991	0.618356	0.0712294	0.14842	0.161994
4700	-300.4887	-303.1561	2.667306	1	0	1	1	0.003496371	0.003496371	0.001317698	0.01403235	0.002389655	0.002389655	0.005708743	0.005708743	0.28731	0.449945	0.0106431	0.252102
4800	-287.3929	-308.3665	20.97357	0	0	1	0	0.00461408	0.0001269269	0.001265933	0.01263855	0.002572079	0.002572079	0.000116573	0.002070498	0.445863	0.0491084	0.245242	0.259786
4900	-302.653	-298.101	-4.551986	1	0	0	1	0.003949054	0.003949054	0.002420936	0.01541967	0.003387326	2.897935e-05	0.01388352	0.01388352	0.527664	0.140836	0.144552	0.186948
5000	-297.3205	-303.0087	5.688247	0	0	1	1	0.004791487	0.001690655	0.001327885	0.01135788	0.002901827	0.002901827	0.008316686	0.008316686	0.248376	0.0880647	0.242054	0.421505
5100	-299.7417	-304.924	5.182334	1	0	1	1	0.004734918	0.004734918	0.001359066	0.01187032	0.002339523	0.002339523	0.004503495	0.004503495	0.331994	0.17518	0.0879527	0.404874
5200	-295.0451	-305.8054	10.76034	1	0	1	0	0.003375388	0.003375388	0.001752978	0.01218325	0.001619175	0.001619175	0.001300846	0.005844058	0.592258	0.0484225	0.100466	0.258853
5300	-295.0494	-306.6424	11.59305	1	0	0	1	0.004382453	0.004382453	0.001865628	0.008329764	0.003879619	0.0003957334	0.006514787	0.006514787	0.463666	0.00776557	0.0967872	0.431781
5400	-298.0808	-306.3538	8.27297	0	0	1	1	0.004343976	0.002400464	0.0009469262	0.014572	0.001352435	0.001352435	0.004573886	0.004573886	0.391452	0.105161	0.436378	0.0670091
5500	-296.4893	-312.1656	15.6763	1	0	0	1	0.003395237	0.003395237	0.001883341	0.008414127	0.001721662	0.002413733	0.004069568	0.004069568	0.275787	0.114471	0.111393	0.498349
5600	-296.7085	-301.8993	5.190756	1	0	0	1	0.004093459	0.004093459	0.001115061	0.01509	0.003294699	0.001817416	0.005398594	0.005398594	0.333409	0.115024	0.0901782	0.461389
5700	-284.7047	-304.0013	19.29655	0	0	0	0	0.003762356	0.000118855	0.001664538	0.01201943	0.003083405	0.001625452	0.0007603604	0.007804591	0.386387	0.165778	0.417816	0.0300193
5800	-289.0789	-306.0846	17.00571	1	0	0	0	0.003682416	0.003682416	0.001712698	0.009964703	0.003678836	0.002068698	0.0001508156	0.005518711	0.361814	0.327469	0.23018	0.0805366
5900	-300.5331	-300.6318	0.09877172	1	0	1	1	0.003968672	0.003968672	0.001360637	0.01197294	0.003851255	0.003851255	0.007974283	0.007974283	0.712268	0.0492472	0.00803977	0.230445
6000	-295.0743	-306.2861	11.21176	1	0	0	1	0.004152209	0.004152209	0.001946282	0.01134663	0.002437934	0.001304389	0.004504593	0.004504593	0.14393	0.0323217	0.409291	0.414457
6100	-300.0088	-304.6373	4.62847	1	0	1	1	0.004695825	0.004695825	0.001461434	0.01098226	0.003724347	0.003724347	0.004414172	0.004414172	0.376237	0.141589	0.0806374	0.401537
