Iteration	Replicate_ID	Posterior	Likelihood	Prior	prob_gain_A_indep	prob_gain_B_indep	prob_loss_A_indep	prob_loss_B_indep	rate_gain_A_when_B0	rate_gain_A_when_B1	rate_gain_B_when_A0	rate_gain_B_when_A1	rate_loss_A_when_B0	rate_loss_A_when_B1	rate_loss_B_when_A0	rate_loss_B_when_A1	rf[1]	rf[2]	rf[3]	rf[4]
30	0	-303.2291	-315.4499	12.22085	1	0	1	0	0.003017927	0.003017927	0.0003397657	0.006041802	0.007638064	0.007638064	0.003739831	0.004770738	0.230618	0.171522	0.559182	0.0386786
31	1	-307.9937	-318.208	10.21432	1	0	1	1	0.004339951	0.004339951	0.0001102994	0.004797968	0.004909609	0.004909609	0.006961634	0.006961634	0.278852	0.361893	0.330789	0.0284665
32	0	-299.5849	-319.6766	20.09167	0	0	1	1	0.0009732899	0.001700769	9.154307e-05	0.004934425	0.00728979	0.00728979	0.003625939	0.003625939	0.226711	0.24542	0.347332	0.180537
33	1	-303.048	-314.9897	11.94173	0	0	1	1	0.001748856	0.0004693739	0.0009969401	0.005989618	0.006753706	0.006753706	0.009835474	0.009835474	0.440734	0.173092	0.0390148	0.347159
34	0	-301.0387	-313.5633	12.5246	0	0	1	1	0.002710348	0.002486265	1.510337e-05	0.007055257	0.007217385	0.007217385	0.00579624	0.00579624	0.0132656	0.338994	0.219993	0.427748
35	1	-306.0796	-319.7385	13.65888	1	0	1	1	0.0007879109	0.0007879109	0.000348877	0.005913787	0.006275975	0.006275975	0.004759048	0.004759048	0.654949	0.156941	0.112793	0.0753172
36	0	-304.7016	-311.2748	6.573215	1	0	1	1	0.002228422	0.002228422	0.0003994181	0.005983346	0.007596419	0.007596419	0.008118827	0.008118827	0.186364	0.0712683	0.653733	0.0886343
37	1	-309.421	-316.9048	7.483798	1	0	1	1	0.001446803	0.001446803	0.001797753	0.00542794	0.005784927	0.005784927	0.009066995	0.009066995	0.102295	0.0655915	0.447992	0.384122
38	0	-306.7399	-311.6675	4.927574	1	0	1	1	0.002200405	0.002200405	6.926443e-05	0.006550231	0.005301827	0.005301827	0.01165413	0.01165413	0.0687891	0.316192	0.255746	0.359273
39	1	-306.8518	-316.2611	9.409336	1	0	1	1	0.001645125	0.001645125	0.001177385	0.004532883	0.006350716	0.006350716	0.008122354	0.008122354	0.367093	0.0581321	0.386701	0.188074
40	0	-303.3753	-325.0288	21.65347	0	0	1	1	0.002483479	0.0003708524	0.0002336407	0.00228162	0.005947648	0.005947648	0.005922927	0.005922927	0.0579448	0.00576933	0.807521	0.128764
41	1	-296.9249	-320.1373	23.21237	0	0	1	0	0.001202369	0.003113013	0.0002562881	0.005988768	0.005670566	0.005670566	0.001012986	0.004819106	0.0512223	0.359259	0.359762	0.229757
42	0	-306.0636	-314.5302	8.466579	1	0	1	1	0.002549254	0.002549254	0.0007754226	0.006056635	0.006656463	0.006656463	0.006621041	0.006621041	0.303217	0.00910728	0.379111	0.308565
43	1	-305.3972	-317.6463	12.24911	1	0	1	1	0.001063498	0.001063498	0.0001607686	0.00568385	0.004534536	0.004534536	0.007884623	0.007884623	0.00634697	0.0576862	0.929941	0.00602615
44	0	-300.4983	-313.0743	12.57601	0	0	1	1	0.002625871	0.0001419691	0.0003620922	0.006456204	0.008954165	0.008954165	0.006695015	0.006695015	0.0711982	0.0232856	0.811212	0.0943038
45	1	-305.7125	-317.1407	11.42824	1	0	1	1	0.001700118	0.001700118	0.0006174947	0.005996926	0.005545553	0.005545553	0.006190183	0.006190183	0.355989	0.193223	0.295233	0.155554
46	0	-303.7028	-313.9787	10.27593	1	0	1	1	0.001268367	0.001268367	6.899041e-05	0.006177224	0.00571108	0.00571108	0.007839537	0.007839537	0.0367283	0.303936	0.361607	0.297729
47	1	-307.4343	-316.3524	8.918188	1	0	1	1	0.004057583	0.004057583	2.133012e-05	0.00340517	0.006159026	0.006159026	0.008617942	0.008617942	0.331746	0.271901	0.370881	0.0254717
48	0	-307.4011	-308.6235	1.222407	0	0	1	1	0.002126846	0.005716272	0.0003026561	0.004859208	0.007137626	0.007137626	0.01509261	0.01509261	0.493302	0.0701736	0.371656	0.0648685
49	1	-309.1015	-320.8681	11.76663	1	0	1	1	0.003355956	0.003355956	0.0007067149	0.006392395	0.006558509	0.006558509	0.002738655	0.002738655	0.41157	0.0498221	0.248011	0.290598
50	0	-298.9783	-310.6561	11.67772	0	0	1	1	0.002048309	0.001760679	0.0001769049	0.00618058	0.006307448	0.006307448	0.009552577	0.009552577	0.0940823	0.047882	0.53483	0.323205
