Iteration	Posterior	Likelihood	Prior	prob_gain_A_indep	prob_gain_B_indep	prob_loss_A_indep	prob_loss_B_indep	rate_gain_A_when_B0	rate_gain_A_when_B1	rate_gain_B_when_A0	rate_gain_B_when_A1	rate_loss_A_when_B0	rate_loss_A_when_B1	rate_loss_B_when_A0	rate_loss_B_when_A1	rf[1]	rf[2]	rf[3]	rf[4]
3000	-299.6774	-319.9959	20.31843	1	0	1	0	0.0008231297	0.0008231297	0.000157783	0.005122728	0.005988243	0.005988243	0.0002206523	0.006103493	0.0883392	0.0690081	0.356085	0.486568
3100	-299.4386	-316.7472	17.30854	0	0	1	1	0.0007237655	0.001197265	0.000161501	0.003536571	0.006287796	0.006287796	0.009160149	0.009160149	0.39143	0.0772982	0.41914	0.112132
3200	-300.7496	-320.0563	19.30673	1	0	1	0	0.001041034	0.001041034	6.259245e-05	0.004382113	0.007612996	0.007612996	0.00125949	0.00494888	0.531567	0.0765014	0.35264	0.0392911
3300	-299.2366	-319.2655	20.02894	0	0	1	1	0.001134276	0.001289981	3.322362e-05	0.003835814	0.005308011	0.005308011	0.0070697	0.0070697	0.295743	0.210814	0.334948	0.158495
3400	-296.5398	-316.0278	19.48798	0	0	1	1	0.002437518	0.0001837244	3.221404e-05	0.004872735	0.005858681	0.005858681	0.005762591	0.005762591	0.112549	0.310671	0.539712	0.0370679
3500	-300.482	-316.7455	16.26354	0	0	1	1	0.003680491	0.0005003609	0.0005083225	0.005898535	0.006837822	0.006837822	0.004561923	0.004561923	0.125956	0.172589	0.503915	0.19754
3600	-299.0106	-313.0443	14.0337	0	0	0	1	0.001913694	0.002304464	2.764281e-05	0.005568019	0.007078814	0.002595439	0.01065931	0.01065931	0.027051	0.0240229	0.597456	0.35147
3700	-305.7736	-318.3127	12.53907	1	0	1	1	0.002507996	0.002507996	0.000157815	0.003550322	0.005545999	0.005545999	0.007309755	0.007309755	0.0558563	0.0891003	0.366583	0.488461
3800	-299.2858	-319.049	19.76321	0	0	1	1	0.002182151	0.0004101636	0.0001478152	0.003292532	0.005995868	0.005995868	0.006876522	0.006876522	0.512002	0.0077869	0.371735	0.108476
3900	-301.6329	-320.864	19.23108	0	0	1	1	0.003800619	0.0007188277	0.0001600946	0.003541483	0.005680323	0.005680323	0.005472386	0.005472386	0.0979824	0.136404	0.572135	0.193478
