Iteration	Posterior	Likelihood	Prior	prob_gain_A_indep	prob_gain_B_indep	prob_loss_A_indep	prob_loss_B_indep	rate_gain_A_when_B0	rate_gain_A_when_B1	rate_gain_B_when_A0	rate_gain_B_when_A1	rate_loss_A_when_B0	rate_loss_A_when_B1	rate_loss_B_when_A0	rate_loss_B_when_A1	rf[1]	rf[2]	rf[3]	rf[4]
0	-297.4504	-317.3621	19.9117	0	0	1	1	0.001119041	0.0008059275	6.204723e-05	0.004089715	0.006639276	0.006639276	0.006058257	0.006058257	0.0439104	0.166108	0.415825	0.374157
100	-299.3658	-314.5642	15.19846	0	0	1	1	0.001755666	0.0001641359	0.0004808494	0.006606728	0.008053747	0.008053747	0.005864418	0.005864418	0.192117	0.281139	0.518443	0.00830207
200	-299.9009	-318.5887	18.68784	0	0	1	1	0.00121614	0.002032427	7.257025e-05	0.004302242	0.005316493	0.005316493	0.006912328	0.006912328	0.0434328	0.166805	0.219142	0.570621
300	-307.0056	-310.8605	3.854875	1	0	1	1	0.00212361	0.00212361	0.0003781573	0.007049268	0.007052614	0.007052614	0.01011701	0.01011701	0.576703	0.222296	0.197001	0.00399901
400	-305.5849	-312.5316	6.946763	1	0	1	1	0.002201237	0.002201237	0.0005637926	0.006136146	0.005997208	0.005997208	0.009099039	0.009099039	0.13218	0.418938	0.420756	0.0281261
500	-303.6185	-308.8759	5.257406	0	0	1	1	0.00239824	0.0009974087	0.0002314582	0.00711338	0.007617731	0.007617731	0.0133231	0.0133231	0.090936	0.700664	0.191421	0.0169792
600	-297.388	-313.1469	15.75891	0	0	1	1	0.0009439572	0.0001694038	8.730681e-05	0.004417265	0.007402226	0.007402226	0.009411759	0.009411759	0.533914	0.0048001	0.452097	0.00918855
700	-299.0177	-314.5095	15.49178	0	0	1	1	0.0002131175	5.322413e-05	5.983695e-05	0.004989486	0.006996791	0.006996791	0.01035474	0.01035474	0.0690845	0.360772	0.458888	0.111256
800	-300.1408	-320.3624	20.22153	0	0	1	1	0.002320447	0.000328317	0.0002450105	0.006871743	0.006092884	0.006092884	0.002642976	0.002642976	0.108655	0.439152	0.330665	0.121528
900	-303.614	-313.9421	10.3281	1	0	1	1	0.001916621	0.001916621	0.0001187047	0.004280824	0.007404185	0.007404185	0.007298907	0.007298907	0.111226	0.0613497	0.518081	0.309343
