Iteration	Posterior	Likelihood	Prior	prob_gain_A_indep	prob_gain_B_indep	prob_loss_A_indep	prob_loss_B_indep	rate_gain_A_when_B0	rate_gain_A_when_B1	rate_gain_B_when_A0	rate_gain_B_when_A1	rate_loss_A_when_B0	rate_loss_A_when_B1	rate_loss_B_when_A0	rate_loss_B_when_A1	rf[1]	rf[2]	rf[3]	rf[4]
3000	-297.9573	-315.02	17.0627	0	1	1	0	0.005319883	6.394583e-05	0.006173815	0.006173815	0.00605303	0.00605303	0.002080142	0.00159276	0.323009	0.0877136	0.0983969	0.49088
3100	-306.3241	-311.0215	4.697485	0	1	1	1	0.005452161	0.000327208	0.006399938	0.006399938	0.01242014	0.01242014	0.001379074	0.001379074	0.262715	0.327961	0.23851	0.170815
3200	-306.2158	-315.6572	9.441338	0	1	1	1	0.003929177	6.923743e-05	0.006255366	0.006255366	0.007698441	0.007698441	0.003848057	0.003848057	0.349952	0.0364216	0.343781	0.269845
3300	-307.2523	-320.3242	13.07189	0	1	1	1	0.003567153	0.0001804741	0.008624829	0.008624829	0.00544821	0.00544821	0.0007819366	0.0007819366	0.525515	0.165335	0.282902	0.0262473
3400	-305.0108	-310.5109	5.500119	0	1	1	1	0.006583702	6.768608e-06	0.00670018	0.00670018	0.008949047	0.008949047	0.003031884	0.003031884	0.286007	0.0861683	0.135412	0.492412
3500	-306.8641	-321.1862	14.32202	0	1	1	1	0.00484175	4.974219e-05	0.004210212	0.004210212	0.006823533	0.006823533	0.001576284	0.001576284	0.301965	0.54232	0.0310009	0.124713
3600	-302.275	-319.5105	17.23558	0	1	0	1	0.005405902	0.0005608455	0.005974362	0.005974362	0.004715009	0.001978557	0.002496631	0.002496631	0.336041	0.508637	0.125726	0.0295965
3700	-303.0336	-315.453	12.41946	0	1	1	1	0.005329907	4.725542e-05	0.005995934	0.005995934	0.00614161	0.00614161	0.001662528	0.001662528	0.306599	0.176909	0.033765	0.482727
3800	-297.2668	-317.422	20.15518	0	1	1	0	0.004943162	6.335181e-05	0.005833642	0.005833642	0.004787601	0.004787601	0.002204057	0.0007280051	0.550059	0.0748815	0.026336	0.348723
3900	-299.829	-313.4851	13.65607	0	1	1	0	0.0052176	2.363829e-05	0.006394513	0.006394513	0.01002237	0.01002237	0.002196427	0.0004294776	0.0306106	0.35797	0.14498	0.46644
4000	-300.8561	-313.7002	12.84405	0	1	1	0	0.006623392	0.0001197571	0.006943482	0.006943482	0.01005969	0.01005969	0.0003245854	0.0009283276	0.312177	0.219449	0.126643	0.34173
4100	-296.4582	-313.3837	16.92557	0	1	1	0	0.005521644	1.597149e-05	0.007686947	0.007686947	0.006621916	0.006621916	0.001475011	8.286185e-05	0.444434	0.0273516	0.455959	0.0722561
4200	-304.2714	-316.198	11.92656	0	1	1	1	0.004816748	0.0002891431	0.005887168	0.005887168	0.007404236	0.007404236	0.001214078	0.001214078	0.258778	0.219003	0.174963	0.347256
4300	-306.6932	-313.6862	6.993012	0	1	1	1	0.005661177	0.0006306178	0.008762445	0.008762445	0.007191464	0.007191464	0.001710984	0.001710984	0.734348	0.0799113	0.0315191	0.154221
4400	-298.1876	-316.7867	18.59909	0	1	1	0	0.00390317	3.057116e-05	0.008222411	0.008222411	0.006233194	0.006233194	0.001495164	4.586578e-05	0.462026	0.488666	0.00919629	0.0401108
