Iteration	Replicate_ID	Posterior	Likelihood	Prior	prob_gain_A_indep	prob_gain_B_indep	prob_loss_A_indep	prob_loss_B_indep	rate_gain_A_when_B0	rate_gain_A_when_B1	rate_gain_B_when_A0	rate_gain_B_when_A1	rate_loss_A_when_B0	rate_loss_A_when_B1	rate_loss_B_when_A0	rate_loss_B_when_A1	rf[1]	rf[2]	rf[3]	rf[4]
30	0	-302.8046	-312.8012	9.996612	0	1	1	1	0.004779671	2.788053e-05	0.007535911	0.007535911	0.007698059	0.007698059	0.001269688	0.001269688	0.693278	0.0934964	0.188652	0.0245742
31	1	-306.2035	-313.7421	7.538575	0	1	1	1	0.004040153	0.0001473503	0.007510718	0.007510718	0.01040416	0.01040416	0.00137379	0.00137379	0.11493	0.0739732	0.643652	0.167444
32	0	-305.2943	-318.305	13.01072	0	1	1	1	0.005090442	0.0002176237	0.005532598	0.005532598	0.005177225	0.005177225	0.002638583	0.002638583	0.214345	0.215852	0.288612	0.281191
33	1	-298.5818	-314.9267	16.34488	0	1	1	0	0.006111884	0.0003729603	0.0069558	0.0069558	0.005136628	0.005136628	0.002335272	0.001003266	0.584941	0.162722	0.0745762	0.177761
34	0	-304.0651	-315.3493	11.28422	0	1	1	1	0.004947365	0.0002625091	0.007065353	0.007065353	0.006407039	0.006407039	0.001494862	0.001494862	0.248291	0.200337	0.0286774	0.522694
35	1	-306.8839	-312.5656	5.681692	0	1	1	1	0.005522268	0.0001215654	0.006663196	0.006663196	0.00802899	0.00802899	0.004775639	0.004775639	0.379095	0.039203	0.563834	0.0178671
36	0	-306.1116	-317.484	11.3723	0	1	1	1	0.006755144	0.0004274176	0.006163246	0.006163246	0.004064866	0.004064866	0.002688867	0.002688867	0.39109	0.00613299	0.24239	0.360387
37	1	-305.6993	-318.7088	13.00948	0	1	1	1	0.006147988	4.328436e-06	0.005083649	0.005083649	0.005536916	0.005536916	0.001884689	0.001884689	0.0843875	0.397084	0.0550964	0.463432
38	0	-299.9828	-312.7288	12.74609	0	1	1	0	0.00570655	0.0001380863	0.007125979	0.007125979	0.006682736	0.006682736	0.003833901	0.001598265	0.621456	0.117473	0.191121	0.0699498
39	1	-298.0417	-315.9398	17.8981	0	1	1	0	0.004398065	0.0001416519	0.006221191	0.006221191	0.006423201	0.006423201	0.002012261	0.001351408	0.415862	0.303887	0.182491	0.0977605
40	0	-298.3535	-317.0063	18.65275	0	1	1	0	0.004383916	0.0001228153	0.005763914	0.005763914	0.006764129	0.006764129	0.001322752	0.001525583	0.360119	0.170627	0.409791	0.0594629
41	1	-298.04	-315.5548	17.51483	0	1	1	0	0.005386229	1.782171e-05	0.008268672	0.008268672	0.006152671	0.006152671	0.0007275597	0.0003324006	0.453235	0.0327664	0.471947	0.0420515
42	0	-299.2582	-321.1758	21.91761	0	1	1	0	0.006014796	2.537618e-05	0.007007498	0.007007498	0.002049178	0.002049178	0.001796244	0.0001144308	0.299935	0.0944755	0.199882	0.405707
43	1	-302.9154	-315.7703	12.85484	0	1	0	1	0.005720211	3.606674e-05	0.005175037	0.005175037	0.01044661	0.002709586	0.0009022206	0.0009022206	0.584832	0.0255899	0.332898	0.0566801
44	0	-300.3603	-316.4902	16.12984	0	1	1	0	0.005369987	0.0005170984	0.00494923	0.00494923	0.008773224	0.008773224	0.002235391	0.0002602771	0.278328	0.128748	0.0600117	0.532912
45	1	-306.2606	-310.8602	4.599628	0	1	1	1	0.005225198	8.932415e-05	0.008739443	0.008739443	0.01079486	0.01079486	0.001215878	0.001215878	0.537298	0.0519287	0.276321	0.134452
46	0	-301.0531	-319.7397	18.68665	0	1	1	0	0.007925597	0.0001431418	0.00525686	0.00525686	0.004227059	0.004227059	0.002296023	4.567635e-06	0.165116	0.445071	0.204048	0.185766
47	1	-306.9445	-319.6062	12.6617	0	1	1	1	0.00367606	3.870635e-05	0.008169629	0.008169629	0.006604113	0.006604113	0.0004753693	0.0004753693	0.201591	0.21794	0.233499	0.34697
48	0	-307.3959	-321.8231	14.4272	0	1	1	1	0.006634577	0.0003401136	0.005338491	0.005338491	0.003506718	0.003506718	0.001588983	0.001588983	0.114317	0.282437	0.125129	0.478116
49	1	-304.0179	-315.4049	11.387	0	1	1	1	0.00414968	5.299388e-05	0.006838045	0.006838045	0.008102246	0.008102246	0.0009436306	0.0009436306	0.267818	0.226884	0.117642	0.387656
50	0	-305.1106	-314.1148	9.004245	0	1	1	1	0.004049696	0.0004712493	0.006523696	0.006523696	0.009351912	0.009351912	0.001788703	0.001788703	0.400288	0.0355879	0.17682	0.387304
51	1	-306.0721	-319.3106	13.23855	0	1	1	1	0.006208311	0.0001360501	0.007272042	0.007272042	0.002516056	0.002516056	0.002323352	0.002323352	0.358694	0.215087	0.0374931	0.388725
52	0	-295.9105	-315.5816	19.67108	0	1	0	0	0.006914374	0.0001687044	0.006916086	0.006916086	0.006471191	3.999184e-05	0.002520054	0.002151751	0.380258	0.270183	0.0362003	0.313359
53	1	-297.3915	-316.9675	19.57596	0	1	1	0	0.004659146	0.0001785393	0.005883518	0.005883518	0.005745143	0.005745143	0.001821748	0.0007818802	0.485715	0.0220997	0.265983	0.226202
54	0	-304.593	-313.8965	9.303419	0	1	1	1	0.004863874	0.0002598123	0.006693496	0.006693496	0.007729494	0.007729494	0.002375075	0.002375075	0.20293	0.0825448	0.219895	0.49463
55	1	-301.7465	-312.8195	11.073	0	1	1	0	0.006333471	0.0004544329	0.008506114	0.008506114	0.008218784	0.008218784	0.002283909	0.0007624094	0.211301	0.484693	0.211251	0.0927554
56	0	-304.213	-311.5079	7.294889	0	1	1	1	0.005886574	0.0001499162	0.007649491	0.007649491	0.006978612	0.006978612	0.003026209	0.003026209	0.776686	0.182709	0.0176457	0.0229592
57	1	-307.0965	-323.9487	16.85218	0	1	1	1	0.004201104	0.0004808823	0.005288335	0.005288335	0.003304514	0.003304514	0.001998203	0.001998203	0.605257	0.284625	0.0399978	0.0701205
58	0	-304.9903	-312.2035	7.213163	0	1	1	1	0.006602933	0.0005459693	0.007071486	0.007071486	0.007945076	0.007945076	0.001597321	0.001597321	0.658464	0.235574	0.0457936	0.0601685
59	1	-303.2725	-313.4917	10.21921	0	1	1	1	0.006773637	9.481594e-05	0.006751338	0.006751338	0.006178651	0.006178651	0.001316708	0.001316708	0.664047	0.147749	0.178536	0.00966872
60	0	-297.9573	-315.02	17.0627	0	1	1	0	0.005319883	6.394583e-05	0.006173815	0.006173815	0.00605303	0.00605303	0.002080142	0.00159276	0.323009	0.0877136	0.0983969	0.49088
61	1	-304.7146	-315.7947	11.08009	0	0	1	1	0.004997172	0.000404184	0.008205559	0.002448616	0.009289129	0.009289129	0.001208219	0.001208219	0.421203	0.355851	0.0117021	0.211244
