Iteration	Posterior	Likelihood	Prior	prob_gain_A_indep	prob_gain_B_indep	prob_loss_A_indep	prob_loss_B_indep	rate_gain_A_when_B0	rate_gain_A_when_B1	rate_gain_B_when_A0	rate_gain_B_when_A1	rate_loss_A_when_B0	rate_loss_A_when_B1	rate_loss_B_when_A0	rate_loss_B_when_A1	rf[1]	rf[2]	rf[3]	rf[4]
0	-300.8617	-312.6511	11.78937	1	0	1	1	0.003952048	0.003952048	0.001364178	0.009742424	0.002419459	0.002419459	0.001713958	0.001713958	0.251125	0.249447	0.401004	0.0984244
100	-293.4034	-306.623	13.21961	0	0	1	1	0.004252357	0.0009189963	0.001593873	0.01104543	0.002609487	0.002609487	0.00356544	0.00356544	0.508208	0.0661783	0.140346	0.285268
200	-297.1772	-304.9585	7.781331	0	0	1	1	0.003654591	0.001215055	0.00117287	0.01607041	0.001495223	0.001495223	0.004999375	0.004999375	0.304076	0.512687	0.181215	0.00202158
300	-298.2476	-311.8299	13.58226	0	0	1	1	0.004800723	0.002346771	0.001243378	0.00880112	0.002728324	0.002728324	0.003757054	0.003757054	0.0589355	0.17069	0.410142	0.360233
400	-299.5252	-307.9577	8.432501	1	0	1	1	0.004471653	0.004471653	0.001394824	0.01062352	0.002236694	0.002236694	0.003318341	0.003318341	0.283604	0.601848	0.0497891	0.0647591
500	-294.9255	-306.9323	12.00676	0	0	1	1	0.004483215	0.00110442	0.001224854	0.01041785	0.001819216	0.001819216	0.005966816	0.005966816	0.414177	0.0367715	0.130484	0.418567
600	-302.0992	-309.3291	7.229845	1	0	1	1	0.003525164	0.003525164	0.001102395	0.00852108	0.0021077	0.0021077	0.00781082	0.00781082	0.323779	0.489315	0.129644	0.0572619
700	-296.3479	-304.3916	8.043736	0	0	0	1	0.003739334	0.001926967	0.0009539523	0.01893671	0.004330623	0.001091713	0.00341427	0.00341427	0.691984	0.163946	0.0506917	0.0933776
800	-299.6129	-307.715	8.102146	1	0	1	1	0.003766254	0.003766254	0.001769072	0.009473149	0.001951751	0.001951751	0.005365573	0.005365573	0.359352	0.0374362	0.011953	0.591259
900	-298.5553	-310.6866	12.13125	0	0	1	1	0.003537337	0.001706381	0.002731097	0.008341331	0.002964937	0.002964937	0.005629485	0.005629485	0.432958	0.12532	0.155248	0.286474
1000	-288.3648	-308.9781	20.61333	0	0	1	0	0.004782886	0.0004843036	0.00150825	0.01157741	0.001793707	0.001793707	0.0004399798	0.003124269	0.346008	0.108947	0.0862533	0.458792
1100	-295.3047	-307.2575	11.9528	1	0	0	1	0.005214737	0.005214737	0.001661403	0.009119849	0.00234476	0.0001532758	0.006568208	0.006568208	0.396692	0.0786726	0.27548	0.249155
1200	-288.5459	-305.5736	17.02766	0	0	1	0	0.003490543	0.0004168166	0.001926352	0.01266308	0.002883145	0.002883145	7.997347e-05	0.005298313	0.362626	0.0858265	0.398052	0.153496
1300	-295.7706	-303.4236	7.653	1	0	0	1	0.0051889	0.0051889	0.001824028	0.01063386	0.00348844	0.0009519784	0.006629381	0.006629381	0.426545	0.145056	0.0797666	0.348632
1400	-301.705	-303.4372	1.732244	1	0	1	1	0.003824656	0.003824656	0.002094103	0.01173845	0.002113253	0.002113253	0.007969059	0.007969059	0.211843	0.686924	0.0485467	0.0526858
1500	-294.26	-313.4374	19.1774	0	0	0	1	0.002357282	0.0002462477	0.001752965	0.009344405	0.003277706	0.00293115	0.005021426	0.005021426	0.131351	0.100297	0.0126592	0.755693
1600	-293.7588	-304.7444	10.98552	0	0	1	1	0.004727713	6.358446e-05	0.00181643	0.01056724	0.00406391	0.00406391	0.004645431	0.004645431	0.963515	0.0230456	0.000106356	0.0133334
1700	-298.3306	-313.6639	15.33331	1	0	1	0	0.002500608	0.002500608	0.001383811	0.009716769	0.002345083	0.002345083	0.003245255	0.002997649	0.413516	0.0213776	0.173339	0.391767
1800	-300.8748	-303.3106	2.435843	1	0	1	1	0.004506762	0.004506762	0.001059098	0.01324398	0.002099606	0.002099606	0.00623209	0.00623209	0.36993	0.286336	0.0562805	0.287454
1900	-298.4286	-301.7778	3.34924	1	0	0	1	0.005814683	0.005814683	0.002077752	0.01372812	0.002898467	0.0009677482	0.006887543	0.006887543	0.409163	0.135071	0.273565	0.182201
2000	-301.6072	-309.3061	7.698966	1	0	1	1	0.003701214	0.003701214	0.001259456	0.0113576	0.001501036	0.001501036	0.004849156	0.004849156	0.0567505	0.122933	0.0876052	0.732712
2100	-300.4214	-307.5338	7.11232	1	0	1	1	0.0029949	0.0029949	0.00169513	0.01266353	0.002067638	0.002067638	0.003745842	0.003745842	0.390313	0.228926	0.343209	0.0375522
2200	-300.0168	-308.003	7.986172	1	0	1	1	0.004198003	0.004198003	0.0008715018	0.01024583	0.00346222	0.00346222	0.003646811	0.003646811	0.526162	0.276039	0.155848	0.0419512
2300	-291.32	-308.3319	17.01186	0	0	1	0	0.005039353	0.0003017087	0.00173147	0.01006956	0.005478688	0.005478688	0.0004773768	0.003673498	0.380414	0.244178	0.343238	0.0321705
2400	-294.5677	-306.7576	12.18984	1	0	1	0	0.004372815	0.004372815	0.001468438	0.009759673	0.00246343	0.00246343	0.0008730755	0.005923347	0.282832	0.279107	0.18474	0.25332
2500	-288.8261	-303.4116	14.58553	1	0	0	0	0.004194318	0.004194318	0.001574646	0.01145532	0.002785975	0.001745559	0.001144509	0.00593344	0.688356	0.0964769	0.0574625	0.157705
2600	-294.7082	-307.7222	13.01406	1	0	1	0	0.003878606	0.003878606	0.001125419	0.009308656	0.003277825	0.003277825	0.0006310545	0.005938721	0.281794	0.329622	0.0219174	0.366666
2700	-289.4097	-307.6732	18.26347	0	0	0	1	0.004227503	0.0002489649	0.002003126	0.01098826	0.003072897	0.002250865	0.00291631	0.00291631	0.679757	0.132428	0.187081	0.000734079
2800	-296.8076	-310.841	14.0334	1	0	1	0	0.004398263	0.004398263	0.001176302	0.00784904	0.004776967	0.004776967	0.0002191903	0.004874187	0.198245	0.338632	0.00609363	0.457029
2900	-288.8966	-313.6045	24.70795	1	0	0	0	0.005039947	0.005039947	0.001421252	0.008243933	0.001925909	0.0001685277	0.0007843774	0.002646876	0.514157	0.12663	0.350627	0.00858621
3000	-295.4379	-309.3769	13.93898	1	0	0	1	0.004873308	0.004873308	0.002737216	0.008533858	0.003334093	0.0001012724	0.003794453	0.003794453	0.68744	0.0764353	0.0438923	0.192232
3100	-304.9069	-317.1297	12.22283	1	0	1	1	0.002367968	0.002367968	0.001799854	0.0103432	0.00259343	0.00259343	0.00171922	0.00171922	0.152881	0.236243	0.501508	0.109367
3200	-296.4783	-305.2207	8.742364	1	0	1	0	0.004275122	0.004275122	0.001113367	0.01104962	0.002692876	0.002692876	0.0004661044	0.008193663	0.150625	0.229387	0.331506	0.288483
3300	-301.798	-305.2574	3.459399	1	0	1	1	0.003855921	0.003855921	0.00105943	0.01637144	0.00230445	0.00230445	0.002680382	0.002680382	0.756678	0.164161	0.0595819	0.0195788
3400	-289.5776	-314.7163	25.13869	1	0	0	0	0.004846059	0.004846059	0.001856242	0.008095789	0.001121775	0.0006153721	0.0005133626	0.002816146	0.48283	0.129266	0.357732	0.0301711
3500	-298.361	-308.4406	10.07959	0	0	1	1	0.002685698	0.0001384947	0.001585893	0.00997009	0.003658772	0.003658772	0.008615308	0.008615308	0.107039	0.219086	0.381665	0.29221
3600	-305.5153	-297.8883	-7.626998	1	0	1	1	0.004322511	0.004322511	0.001323628	0.01577963	0.002888146	0.002888146	0.01137992	0.01137992	0.231333	0.285142	0.332934	0.150591
3700	-296.015	-312.9661	16.95106	1	0	1	0	0.002835913	0.002835913	0.001259968	0.008825149	0.003055868	0.003055868	0.0008073939	0.004029968	0.139589	0.644266	0.112823	0.103322
3800	-288.8223	-313.6921	24.86977	1	0	0	0	0.004513303	0.004513303	0.001373473	0.01022622	0.001212023	0.0003365629	0.0003677509	0.002063963	0.321207	0.276014	0.385916	0.0168635
3900	-300.9023	-311.4205	10.51812	1	0	1	1	0.004645988	0.004645988	0.001327182	0.009811053	0.002328445	0.002328445	0.002159816	0.002159816	0.22209	0.313468	0.111571	0.352871
4000	-292.3072	-303.9301	11.62282	0	0	0	1	0.003163049	0.000293016	0.001072054	0.01362688	0.001387318	0.002467357	0.009342067	0.009342067	0.561086	0.146171	0.0907386	0.202004
4100	-293.6324	-311.2928	17.66036	1	0	1	0	0.003767606	0.003767606	0.001580827	0.008196112	0.002066322	0.002066322	0.0001727558	0.00442781	0.370224	0.520958	0.0939637	0.0148545
4200	-301.4174	-300.6437	-0.7736108	1	0	1	1	0.004276562	0.004276562	0.002068365	0.01167663	0.003966224	0.003966224	0.007881437	0.007881437	0.709237	0.16589	0.116009	0.00886346
4300	-300.4815	-310.8943	10.41285	1	0	1	1	0.004198391	0.004198391	0.001122951	0.008419102	0.00270437	0.00270437	0.00391714	0.00391714	0.248472	0.00234054	0.682672	0.0665158
4400	-301.6726	-308.0767	6.404098	1	0	1	1	0.004110479	0.004110479	0.002261654	0.008614318	0.001861748	0.001861748	0.006920755	0.006920755	0.346236	0.181968	0.0136623	0.458134
4500	-296.7183	-309.9888	13.27048	1	0	0	1	0.003339707	0.003339707	0.001681367	0.00844797	0.002062385	0.003054605	0.005356317	0.005356317	0.408367	0.175778	0.356806	0.0590491
4600	-299.8823	-311.2927	11.41033	1	0	1	1	0.004365276	0.004365276	0.001346637	0.009268783	0.002190447	0.002190447	0.002343061	0.002343061	0.447393	0.139609	0.162745	0.250253
4700	-301.2011	-307.6366	6.435497	1	0	1	1	0.004367184	0.004367184	0.001166317	0.01017444	0.003823426	0.003823426	0.004210898	0.004210898	0.102785	0.163744	0.51757	0.215901
4800	-301.9328	-307.8722	5.939419	1	0	1	1	0.00504085	0.00504085	0.001575518	0.01234239	0.002433721	0.002433721	0.002771403	0.002771403	0.110768	0.300766	0.286092	0.302374
4900	-300.4934	-308.5887	8.095302	1	0	1	1	0.00314403	0.00314403	0.001519591	0.008792432	0.003240551	0.003240551	0.005635013	0.005635013	0.360088	0.290362	0.0570753	0.292475
5000	-295.013	-305.9952	10.98217	0	0	1	1	0.003220303	0.0008109441	0.001292447	0.01060911	0.003893801	0.003893801	0.006060552	0.006060552	0.308082	0.334863	0.106621	0.250433
5100	-295.3822	-307.404	12.02184	0	0	1	1	0.00431643	0.0008894127	0.002116594	0.00997854	0.00214517	0.00214517	0.005557413	0.005557413	0.397369	0.187284	0.112515	0.302833
5200	-293.215	-309.3786	16.16351	1	0	0	0	0.005292714	0.005292714	0.001309213	0.009872432	0.001997104	0.001646847	0.003189059	0.004185291	0.189459	0.138057	0.341786	0.330699
5300	-292.9183	-304.5774	11.65912	1	0	1	0	0.003803505	0.003803505	0.001232053	0.01279824	0.002836483	0.002836483	0.0004221537	0.004219397	0.479624	0.209633	0.0597895	0.250953
5400	-301.1525	-305.0375	3.884919	1	0	1	1	0.004331091	0.004331091	0.001749473	0.01182175	0.003644664	0.003644664	0.004362998	0.004362998	0.10702	0.38791	0.243311	0.261759
5500	-298.7376	-302.2481	3.510512	1	0	0	1	0.00476422	0.00476422	0.001578518	0.01120196	0.006659049	0.0004230047	0.007610492	0.007610492	0.260313	0.159248	0.226831	0.353608
5600	-295.4087	-305.9818	10.57311	0	0	1	1	0.004892823	0.001011907	0.001356003	0.01047551	0.001882619	0.001882619	0.006615953	0.006615953	0.526504	0.00590032	0.128738	0.338858
5700	-304.2617	-304.7108	0.4490266	1	0	1	1	0.004821155	0.004821155	0.002137803	0.008618103	0.003205922	0.003205922	0.01004713	0.01004713	0.481364	0.187501	0.106255	0.224881
5800	-295.62	-306.8211	11.20107	1	0	0	1	0.003846745	0.003846745	0.001609603	0.01089438	0.003096075	0.0002481446	0.006006172	0.006006172	0.0771093	0.199111	0.680059	0.0437208
5900	-293.797	-306.6974	12.90036	0	0	1	1	0.004033186	2.055486e-05	0.001119983	0.01340917	0.002091124	0.002091124	0.003582897	0.003582897	0.212154	0.192338	0.116111	0.479397
6000	-293.6527	-306.162	12.50932	0	0	1	1	0.003739218	0.0004424297	0.001111521	0.01324232	0.003221416	0.003221416	0.002832352	0.002832352	0.490146	0.289521	0.0417033	0.178629
6100	-303.2028	-308.3281	5.125352	1	0	1	1	0.004403736	0.004403736	0.001009802	0.009497032	0.006164135	0.006164135	0.003781043	0.003781043	0.514198	0.0753963	0.289873	0.120534
6200	-296.9255	-303.5073	6.581764	0	0	1	1	0.00541402	6.014205e-05	0.001627717	0.01254395	0.004717274	0.004717274	0.005263916	0.005263916	0.261729	0.00865095	0.700349	0.0292708
6300	-300.2784	-304.9654	4.687043	1	0	0	1	0.004876081	0.004876081	0.001841143	0.01658271	0.0008925473	0.001557516	0.005487327	0.005487327	0.10352	0.702599	0.0314099	0.162471
6400	-294.9122	-309.125	14.21282	0	0	1	0	0.003350952	0.00189413	0.002950513	0.01092341	0.002360722	0.002360722	0.001351727	0.00631908	0.557653	0.162117	0.225323	0.0549074
6500	-301.1086	-308.0199	6.91132	1	0	1	1	0.003328809	0.003328809	0.001143589	0.01021573	0.004510801	0.004510801	0.00413894	0.00413894	0.241265	0.0620237	0.485202	0.211509
6600	-292.4822	-307.3971	14.91492	0	0	1	0	0.004052695	0.00038093	0.002374517	0.01218143	0.002078723	0.002078723	0.003718452	0.003767074	0.565812	0.270302	0.00940381	0.154482
6700	-299.4343	-306.3338	6.899487	1	0	1	1	0.004756988	0.004756988	0.001474939	0.009917998	0.002888719	0.002888719	0.004309284	0.004309284	0.479293	0.241939	0.225411	0.0533571
6800	-299.9037	-306.8932	6.98946	1	0	1	1	0.004876453	0.004876453	0.001178999	0.01213276	0.00156674	0.00156674	0.003516513	0.003516513	0.778347	0.0269079	0.166968	0.0277776
6900	-304.1666	-301.2255	-2.941049	1	0	1	1	0.005617858	0.005617858	0.001185384	0.01452691	0.004373275	0.004373275	0.006007873	0.006007873	0.408825	0.0524695	0.50207	0.0366358
7000	-297.1434	-302.9588	5.815418	0	0	0	1	0.004211058	0.002696485	0.002751603	0.01521022	0.002545167	0.0002469138	0.008625952	0.008625952	0.202026	0.0812725	0.255288	0.461413
7100	-294.7175	-307.0012	12.28378	1	0	1	0	0.00399514	0.00399514	0.001512485	0.008677119	0.002629467	0.002629467	0.001083413	0.006883309	0.849463	0.113601	0.028762	0.00817437
7200	-299.0006	-317.2482	18.24754	1	0	0	1	0.005196092	0.005196092	0.001451712	0.008277271	0.001280703	9.375379e-05	0.003412862	0.003412862	0.0150264	0.0557016	0.527952	0.40132
7300	-298.5832	-312.3063	13.72313	1	0	0	1	0.002965811	0.002965811	0.002480394	0.01061557	0.004165409	0.001241212	0.002089249	0.002089249	0.415635	0.225201	0.00936593	0.349799
7400	-307.5412	-311.1891	3.647862	1	0	1	1	0.00348727	0.00348727	0.002726535	0.009968921	0.006296317	0.006296317	0.003632408	0.003632408	0.119688	0.248153	0.255689	0.376471
7500	-288.8642	-305.6971	16.83296	0	0	0	0	0.004666341	0.002297109	0.001152249	0.00970852	0.006429012	0.001245849	0.001588589	0.005845097	0.499381	0.459314	0.030769	0.0105359
7600	-294.7347	-307.1208	12.38611	1	0	1	0	0.004122696	0.004122696	0.001334348	0.01147873	0.001866209	0.001866209	0.002044857	0.003847128	0.347519	0.114778	0.470329	0.067374
7700	-295.3085	-308.5062	13.1977	0	0	0	1	0.003665743	6.546216e-05	0.001454484	0.009169425	0.007354276	0.004246669	0.004057214	0.004057214	0.250188	0.249036	0.419206	0.0815703
7800	-293.6155	-304.4077	10.7922	1	0	1	0	0.004436038	0.004436038	0.001389444	0.01177395	0.00336185	0.00336185	0.001018927	0.00406841	0.560682	0.318741	0.063315	0.0572614
7900	-295.1344	-308.6153	13.48095	0	0	1	1	0.004184297	0.0001017799	0.002026236	0.01064257	0.003621893	0.003621893	0.003186702	0.003186702	0.20692	0.0216974	0.169563	0.60182
8000	-289.7881	-305.6342	15.84607	1	0	0	0	0.003394168	0.003394168	0.0009792377	0.01163376	0.004299656	0.001980129	0.0002382585	0.005237236	0.399249	0.119023	0.144765	0.336963
8100	-289.1152	-307.0711	17.95585	0	0	1	0	0.003449712	0.00123862	0.0014349	0.0108114	0.002232155	0.002232155	0.001575883	0.005226692	0.518139	0.0347077	0.28334	0.163813
8200	-300.6668	-310.7346	10.06775	1	0	1	1	0.004501595	0.004501595	0.00159524	0.00906004	0.001552906	0.001552906	0.00394547	0.00394547	0.195945	0.0967169	0.0350063	0.672332
8300	-305.1402	-306.4657	1.325485	1	0	1	1	0.005540745	0.005540745	0.00261776	0.01341362	0.002797824	0.002797824	0.003715269	0.003715269	0.216335	0.0997227	0.167552	0.51639
8400	-292.9258	-298.0971	5.171313	0	0	0	1	0.004301585	0.0002934596	0.00184736	0.01605089	0.003039365	0.001877777	0.009424381	0.009424381	0.54841	0.162738	0.22505	0.063802
8500	-301.1744	-310.7289	9.554428	1	0	1	1	0.004179045	0.004179045	0.002118874	0.01003891	0.002632313	0.002632313	0.00212238	0.00212238	0.31442	0.412864	0.22076	0.0519558
8600	-299.879	-305.7668	5.88775	1	0	1	0	0.004521264	0.004521264	0.00286541	0.01316502	0.003263431	0.003263431	0.002718964	0.00368277	0.577437	0.260003	0.143277	0.0192833
8700	-301.6602	-304.6769	3.016656	1	0	0	1	0.002359921	0.002359921	0.001286437	0.01385291	0.003979501	0.001922979	0.009255229	0.009255229	0.252189	0.00884067	0.595042	0.143929
8800	-299.107	-306.1946	7.087655	1	0	1	0	0.005197034	0.005197034	0.0009193634	0.01295223	0.005150213	0.005150213	0.001862463	0.003115764	0.343462	0.291396	0.0734754	0.291667
8900	-291.3408	-314.6489	23.30812	0	0	0	1	0.003344201	0.003034481	0.001411202	0.007762746	0.001763701	0.0004987475	0.003605449	0.003605449	0.74909	0.164052	0.0754831	0.0113747
9000	-296.2039	-305.9497	9.745791	1	0	1	0	0.004010896	0.004010896	0.001443328	0.01147333	0.001429855	0.001429855	0.001465754	0.007114788	0.294599	0.206175	0.0507665	0.448459
9100	-289.2006	-314.9258	25.72525	1	0	0	0	0.004149039	0.004149039	0.0016734	0.007659332	0.002687217	0.0009593165	0.0004112373	0.001826689	0.602943	0.144355	0.207075	0.0456263
9200	-295.5564	-307.1596	11.60321	0	0	1	1	0.004343574	0.0005209337	0.002160145	0.0121946	0.003045601	0.003045601	0.00309449	0.00309449	0.300625	0.03608	0.328871	0.334424
9300	-298.5176	-310.1934	11.67581	1	0	1	0	0.004393019	0.004393019	0.001170622	0.0117614	0.005239519	0.005239519	0.0006531366	0.00207995	0.051891	0.029958	0.446655	0.471496
9400	-296.7823	-307.4381	10.65586	0	0	1	1	0.003580298	0.001870615	0.00122653	0.01053316	0.003132727	0.003132727	0.005821159	0.005821159	0.0594676	0.363854	0.213289	0.36339
9500	-300.112	-302.1262	2.014176	1	0	1	1	0.003659112	0.003659112	0.00155566	0.0136817	0.002137392	0.002137392	0.006466041	0.006466041	0.449226	0.2565	0.00496622	0.289308
9600	-300.9771	-309.3871	8.410021	1	0	1	1	0.003236668	0.003236668	0.00166938	0.01258911	0.002476441	0.002476441	0.00209254	0.00209254	0.357283	0.207836	0.400521	0.034361
