Iteration	Posterior	Likelihood	Prior	prob_gain_A_indep	prob_gain_B_indep	prob_loss_A_indep	prob_loss_B_indep	rate_gain_A_when_B0	rate_gain_A_when_B1	rate_gain_B_when_A0	rate_gain_B_when_A1	rate_loss_A_when_B0	rate_loss_A_when_B1	rate_loss_B_when_A0	rate_loss_B_when_A1	rf[1]	rf[2]	rf[3]	rf[4]
0	-301.7899	-318.123	16.33312	0	1	1	0	0.005514283	0.0005857862	0.008717332	0.008717332	0.006167666	0.006167666	0.0008437471	9.735495e-05	0.121848	0.544297	0.145249	0.188605
100	-308.1825	-312.0252	3.842772	0	1	1	1	0.006581459	0.0005582294	0.008111983	0.008111983	0.007465251	0.007465251	0.004014399	0.004014399	0.724092	0.0606134	0.0651988	0.150096
200	-306.9847	-313.5406	6.555835	0	1	1	1	0.003367361	9.530379e-05	0.007975039	0.007975039	0.01020782	0.01020782	0.002696212	0.002696212	0.376641	0.247268	0.123349	0.252742
300	-296.6177	-313.7096	17.09186	0	1	1	0	0.006005637	0.0001172249	0.006367027	0.006367027	0.006972925	0.006972925	0.001540933	0.0002541498	0.355558	0.00244353	0.0617401	0.580259
400	-303.6252	-316.5782	12.953	0	1	1	1	0.005151597	0.0001129014	0.006199884	0.006199884	0.004598188	0.004598188	0.002644747	0.002644747	0.602128	0.153056	0.129858	0.114958
500	-299.1047	-317.1843	18.07951	0	1	1	0	0.004764673	0.0008217672	0.006504492	0.006504492	0.007295301	0.007295301	0.0009192361	8.252766e-05	0.32601	0.268676	0.11485	0.290464
600	-303.7297	-313.2162	9.486486	0	1	1	1	0.004821006	4.340548e-05	0.006773791	0.006773791	0.00890832	0.00890832	0.00121399	0.00121399	0.224873	0.403602	0.00390603	0.367619
700	-304.3166	-312.6715	8.35484	0	1	1	1	0.004541467	0.0003301714	0.005896246	0.005896246	0.0102146	0.0102146	0.001774751	0.001774751	0.690339	0.208726	0.0695062	0.0314286
800	-304.0326	-313.3635	9.330941	0	1	1	0	0.003983866	0.001182831	0.007432298	0.007432298	0.01199286	0.01199286	0.001542887	0.001958733	0.478729	0.325309	0.0477693	0.148193
900	-307.3097	-310.4635	3.153794	0	1	1	1	0.005521536	0.0006374381	0.006778812	0.006778812	0.01197961	0.01197961	0.00242076	0.00242076	0.342891	0.265392	0.311612	0.0801047
1000	-307.393	-320.6585	13.26552	0	1	1	1	0.004518787	0.0004156816	0.006466652	0.006466652	0.004955052	0.004955052	0.002075887	0.002075887	0.025682	0.133481	0.546942	0.293895
1100	-301.7544	-316.65	14.89556	0	1	1	0	0.005353438	4.901582e-05	0.005158827	0.005158827	0.006507119	0.006507119	0.003026443	0.003097483	0.257759	0.328323	0.390957	0.0229609
1200	-298.6893	-314.6135	15.92427	0	1	1	0	0.003849647	0.0001581422	0.006918447	0.006918447	0.00936304	0.00936304	0.0013688	0.0006281953	0.234543	0.0275334	0.101769	0.636154
1300	-302.4581	-313.5593	11.10118	0	1	1	1	0.006095787	9.843246e-06	0.006634886	0.006634886	0.006083226	0.006083226	0.001514596	0.001514596	0.557754	0.13512	0.0846913	0.222435
1400	-301.7817	-315.094	13.31225	0	1	0	1	0.006552972	5.831611e-05	0.007249283	0.007249283	0.00650003	0.002930709	0.001295545	0.001295545	0.238086	0.0174998	0.0588075	0.685607
1500	-306.2035	-313.7421	7.538575	0	1	1	1	0.004040153	0.0001473503	0.007510718	0.007510718	0.01040416	0.01040416	0.00137379	0.00137379	0.11493	0.0739732	0.643652	0.167444
1600	-298.5818	-314.9267	16.34488	0	1	1	0	0.006111884	0.0003729603	0.0069558	0.0069558	0.005136628	0.005136628	0.002335272	0.001003266	0.584941	0.162722	0.0745762	0.177761
1700	-306.8839	-312.5656	5.681692	0	1	1	1	0.005522268	0.0001215654	0.006663196	0.006663196	0.00802899	0.00802899	0.004775639	0.004775639	0.379095	0.039203	0.563834	0.0178671
1800	-305.6993	-318.7088	13.00948	0	1	1	1	0.006147988	4.328436e-06	0.005083649	0.005083649	0.005536916	0.005536916	0.001884689	0.001884689	0.0843875	0.397084	0.0550964	0.463432
1900	-298.0417	-315.9398	17.8981	0	1	1	0	0.004398065	0.0001416519	0.006221191	0.006221191	0.006423201	0.006423201	0.002012261	0.001351408	0.415862	0.303887	0.182491	0.0977605
2000	-298.04	-315.5548	17.51483	0	1	1	0	0.005386229	1.782171e-05	0.008268672	0.008268672	0.006152671	0.006152671	0.0007275597	0.0003324006	0.453235	0.0327664	0.471947	0.0420515
2100	-302.9154	-315.7703	12.85484	0	1	0	1	0.005720211	3.606674e-05	0.005175037	0.005175037	0.01044661	0.002709586	0.0009022206	0.0009022206	0.584832	0.0255899	0.332898	0.0566801
2200	-306.2606	-310.8602	4.599628	0	1	1	1	0.005225198	8.932415e-05	0.008739443	0.008739443	0.01079486	0.01079486	0.001215878	0.001215878	0.537298	0.0519287	0.276321	0.134452
2300	-306.9445	-319.6062	12.6617	0	1	1	1	0.00367606	3.870635e-05	0.008169629	0.008169629	0.006604113	0.006604113	0.0004753693	0.0004753693	0.201591	0.21794	0.233499	0.34697
2400	-304.0179	-315.4049	11.387	0	1	1	1	0.00414968	5.299388e-05	0.006838045	0.006838045	0.008102246	0.008102246	0.0009436306	0.0009436306	0.267818	0.226884	0.117642	0.387656
2500	-306.0721	-319.3106	13.23855	0	1	1	1	0.006208311	0.0001360501	0.007272042	0.007272042	0.002516056	0.002516056	0.002323352	0.002323352	0.358694	0.215087	0.0374931	0.388725
2600	-297.3915	-316.9675	19.57596	0	1	1	0	0.004659146	0.0001785393	0.005883518	0.005883518	0.005745143	0.005745143	0.001821748	0.0007818802	0.485715	0.0220997	0.265983	0.226202
2700	-301.7465	-312.8195	11.073	0	1	1	0	0.006333471	0.0004544329	0.008506114	0.008506114	0.008218784	0.008218784	0.002283909	0.0007624094	0.211301	0.484693	0.211251	0.0927554
2800	-307.0965	-323.9487	16.85218	0	1	1	1	0.004201104	0.0004808823	0.005288335	0.005288335	0.003304514	0.003304514	0.001998203	0.001998203	0.605257	0.284625	0.0399978	0.0701205
2900	-303.2725	-313.4917	10.21921	0	1	1	1	0.006773637	9.481594e-05	0.006751338	0.006751338	0.006178651	0.006178651	0.001316708	0.001316708	0.664047	0.147749	0.178536	0.00966872
3000	-304.7146	-315.7947	11.08009	0	0	1	1	0.004997172	0.000404184	0.008205559	0.002448616	0.009289129	0.009289129	0.001208219	0.001208219	0.421203	0.355851	0.0117021	0.211244
3100	-306.6679	-315.4015	8.73361	0	1	1	1	0.003858694	1.258589e-05	0.006573518	0.006573518	0.008523442	0.008523442	0.003455384	0.003455384	0.117269	0.0504976	0.0578345	0.774399
3200	-298.3611	-317.4002	19.0391	0	1	1	0	0.005674593	4.601629e-06	0.006315937	0.006315937	0.004070663	0.004070663	0.002695366	0.0007816653	0.253978	0.0173488	0.11629	0.612383
